Idiom,normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
learning curve,Every employee undergoes a learning process while getting to know the company .,Every employee undergoes a learning curve while getting to know the company .,process,curve,"[(5, 6)]","[(5, 6)]",1
baby blues,"Do not speak to her in a rude tone , she is just going through some depression after childbirth right now and needs compassion from you .","Do not speak to her in a rude tone , she is just going through some baby blues right now and needs compassion from you .",depression after childbirth,baby blues,"[(16, 19)]","[(16, 18)]",1
well-to-do,"In the capital 's rich suburbs , hiring a security guard has become a must for every family .","In the capital 's well-to-do suburbs , hiring a security guard has become a must for every family .",rich,well-to-do,"[(4, 5)]","[(4, 5)]",1
blood on hands,"This politician , who looks so successful and empathetic now has the deaths of many people on his hands from the time that riots took place under his orders .","This politician , who looks so successful and empathetic now has the blood of many people on his hands from the time that riots took place under his orders .",deaths,blood,"[(12, 13)]","[(12, 13)]",1
in stitches,The movie had everyone in the theatre laughing hysterically .,The movie had everyone in the theatre in stitches .,laughing hysterically,stitches,"[(7, 9)]","[(8, 9)]",1
cloud nine,She 's been elated since she heard the news of her engagement .,She 's been on cloud nine since she heard the news of her engagement .,elated,on cloud nine,"[(3, 4)]","[(3, 6)]",1
sell someone out,"The company had put a lot of trust on him , but he leaked confidential information to the competitors .","The company had put a lot of trust on him , but he sold them out by leaking confidential information to the competitors .",leaked,sold them out by leaking,"[(13, 14)]","[(13, 18)]",1
scapegoat,The fellow has always been blamed for everything since he is the youngest of the four siblings .,The fellow has always been a scapegoat since he is the youngest of the four siblings .,blamed for everything,a scapegoat,"[(5, 8)]","[(5, 7)]",1
leave no stone unturned,The chief of security said that his team would do everything that was possible in nabbing the miscreants .,The chief of security said that his team would leave no stone unturned in nabbing the miscreants .,do everything | was possible,leave no stone unturned,"[(9, 11), (12, 14)]","[(9, 13)]",2
account for,The horrible weather explained more than 20 percent absenteeism at work today .,The horrible weather accounted for more than 20 percent absenteeism at work today .,explained,accounted for,"[(3, 4)]","[(3, 5)]",1
go with the flow,My grandmother always advised me to adapt to any situation and to stay safe .,My grandmother always advised me to go with the flow and to stay safe .,adapt | any situation,go with the flow,"[(6, 7), (8, 10)]","[(6, 10)]",2
give airs,Susan is a very smart girl but the fact that she brags about her job makes me like her a little less .,Susan is a very smart girl but the fact that she gives herself airs about her job makes me like her a little less .,brags,gives herself airs,"[(11, 12)]","[(11, 14)]",1
laughing stock,"After the event and how he behaved there , he was laughed at in school for days to come .","After the event and how he behaved there , he was the laughing stock in school for days to come .",laughed at,laughing stock,"[(11, 13)]","[(12, 14)]",1
have a crush,Teenage¾girls¾often¾have a romantic feeling for¾this¾teacher .,Teenage¾girls¾often¾have¾a¾crush¾on¾this¾teacher .,Teenage¾girls¾often¾have a romantic feeling for¾this¾teacher,Teenage¾girls¾often¾have¾a¾crush¾on¾this¾teacher,"[(0, 5)]","[(0, 1)]",1
tie the knot,They have been dating each other for quite some time now and are planning to get married a few months from now .,They have been dating each other for quite some time now and are planning to tie the knot a few months from now .,get married,tie the knot,"[(15, 17)]","[(15, 18)]",1
warm-hearted,"My grandmother is a very kind person , everybody loves her .","My grandmother is a very warm-hearted person , everybody loves her .",kind,warm-hearted,"[(5, 6)]","[(5, 6)]",1
in deep water,The political party is in a very serious situation after it was discovered that their candidate had lied in the report .,The political party is in deep water after it was discovered that their candidate had lied in the report .,a very serious situation,deep water,"[(5, 9)]","[(5, 7)]",1
until the cows come home,"We can keep on arguing about this for however long you want , but it wo n't solve anything .","We can keep on arguing about this till the cows come home , but it wo n't solve anything .",for however long you want,till the cows come home,"[(7, 12)]","[(7, 12)]",1
bull in a china shop,The president has been attacking foreign ministers and even the people in his own party aggressively .,The president has been attacking foreign ministers and even the people in his own party like a bull in a china shop .,aggressively,like a bull | a china shop,"[(15, 16)]","[(15, 18), (19, 22)]",2
a trip to the sun,My dream has always been to settle in Australia and But I know it 's unlikely and I just have to make peace with this place .,My dream has always been to settle in Australia and But I know it 's like a trip to the sun and I just have to make peace with this place .,unlikely,like a trip | the sun,"[(15, 16)]","[(15, 18), (19, 21)]",2
hear on the grapevine,"I heard news that he was being promoted , but I do n't know anything further .","I heard on the grapevine that he was being promoted , but I do n't know anything further .",news,on the grapevine,"[(2, 3)]","[(2, 5)]",1
burn the midnight oil,"It is a very hard assignment , and I had to work all night long to get it completed on time .","It is a very hard assignment , and I had to burn the midnight oil to get it completed on time .",work all night long,burn the midnight oil,"[(11, 15)]","[(11, 15)]",1
born yesterday,"Susan might look young , but she was not stupid and She is not going to fall for your lies .","Susan might look young , but she was not born yesterday and She is not going to fall for your lies .",stupid,born yesterday,"[(9, 10)]","[(9, 11)]",1
below the belt,The shot that he took at him was completely unfair and Decent people do not compete like this .,The shot that he took at him was completely below the belt and Decent people do not compete like this .,unfair,below the belt,"[(9, 10)]","[(9, 12)]",1
as and when,Most people in this city do n't own a car - they just rent one at the time when they need it .,Most people in this city do n't own a car - they just rent one as and when they need it .,at the time,as and,"[(15, 18)]","[(15, 17)]",1
one stop shop,That corner store is a comprehensive store for anyone looking for video games .,That corner store is a one stop shop for anyone looking for video games .,comprehensive,one stop shop,"[(5, 6)]","[(5, 8)]",1
great minds think alike,"The two of us had the same idea at the same time and Well , intelligent people have the same thoughts at the same time !","The two of us had the same idea at the same time and Well , great minds think alike !",intelligent people have | thoughts,great minds think alike,"[(15, 18), (20, 21)]","[(15, 19)]",2
stab in the back,"I have done everything for her , but she left me because of that guy , she decieved me .","I have done everything for her , but she left me because of that guy , she stabbed in my back .",decieved,stabbed in my back,"[(17, 18)]","[(17, 21)]",1
over and over again,I have cleaned up this mess countless times but every time I come back it is dirty again .,I have cleaned up this mess over and over again but every time I come back it is dirty again .,countless times,over and over,"[(6, 8)]","[(6, 9)]",1
zip past,The guy just moved past me fast in the queue today without bothering about the rules of the organization .,The guy just zipped past me in the queue today without bothering about the rules of the organization .,moved | fast,zipped,"[(3, 4), (6, 7)]","[(3, 4)]",2
under the weather,"I did not go to work today , as I was feeling sick .","I did not go to work today , as I was feeling a bit under the weather .",sick,a bit under the weather,"[(12, 13)]","[(12, 17)]",1
fall between the cracks,The management was so focused on planning for the next year 's budget that they let this issue be neglected .,The management was so focused on planning for the next year 's budget that they let this issue fall between the cracks .,be neglected,fall between | cracks,"[(18, 20)]","[(18, 20), (21, 22)]",2
speak of the devil,"Well , there he is !","Well , speak of the devil !",there he is,speak of the devil,"[(2, 5)]","[(2, 6)]",1
those three little words,"It is obvious that Steve really loves Sarah , but she told me that he has not told her that she loves him yet .","It is obvious that Steve really loves Sarah , but she told me that he has not said those three little words yet .",her | him,said those three little words,"[(18, 19), (22, 23)]","[(17, 22)]",2
down in the dumps,"As the things were not going well for her at work , she was feeling a bit gloomy .","As the things were not going well for her at work , she was feeling a bit down in the dumps .",gloomy,down in | dumps,"[(17, 18)]","[(17, 19), (20, 21)]",2
pull yourself together,"I know its difficult to get over your loss , but try to maintain your composure and get on with life .","I know its difficult to get over your loss , but try to pull yourself together and get on with life .",maintain | composure,pull yourself together,"[(13, 14), (15, 16)]","[(13, 16)]",2
red letter day,The day that I started my journey towards my real career was a day of significance for me .,The day that I started my journey towards my real career was a red-letter day for me .,of significance,red-letter,"[(14, 16)]","[(13, 14)]",1
go down like a lead balloon,The joke he cracked was very unpopular .,The joke he cracked went down like a lead balloon .,was very unpopular,went down like a lead balloon,"[(4, 7)]","[(4, 10)]",1
take a rain check,"I 'll decline the party tonight , though I might take up the offer later , I have a lot of work to finish right now .","I 'll take a rain check on the party tonight , I have a lot of work to finish right now .",decline | though | might | up | offer later,rain check on,"[(2, 3), (7, 8), (9, 10), (11, 12), (13, 15)]","[(4, 7)]",5
sealed with a kiss,"When Ted and Judy were living apart in different cities , he would write a letter to her every week and all the letters would be marked with SWAK , or marked with care and love , as a mark of how much he loved her .","When Ted and Judy were living apart in different cities , he would write a letter to her every week and all the letters would be marked with SWAK , or sealed with a kiss , as a mark of how much he loved her .",care | love,sealed | kiss,"[(33, 34), (35, 36)]","[(31, 32), (34, 35)]",2
break the mould,His method of teaching physics is very different .,His method of teaching physics breaks the mould .,is very different,breaks the mould,"[(5, 8)]","[(5, 8)]",1
good grief,"I ca n't believe it , is she going to kick her brother in front of the entire school ? This is really shocking for me .","Good grief , is she going to kick her brother in front of the entire school ? This is really shocking for me .",I ca n't believe it,Good grief,"[(0, 5)]","[(0, 2)]",1
bone of contention,A serious subject of dispute between the landowners and the developers was the compensation price for the land .,A serious bone of contention between the landowners and the developers was the compensation price for the land .,subject | dispute,bone | contention,"[(2, 3), (4, 5)]","[(2, 3), (4, 5)]",2
from now on,"After this moment , every student must switch off their phones before coming to my class .","From now on , every student must switch off their phones before coming to my class .",After this moment,From now on,"[(0, 3)]","[(0, 3)]",1
veg out,"After a hard week , I like to take things easy in front of the television during the weekend .","After a hard week , I like to veg out in front of the television during the weekend .",take things easy,veg out,"[(8, 11)]","[(8, 10)]",1
snow under,I feel overwhelmed with all the work my boss keeps throwing my way .,I feel snowed under with all the work my boss keeps throwing my way .,overwhelmed,snowed under,"[(2, 3)]","[(2, 4)]",1
heart touching,The feedback that we received from the public was moving .,The feedback that we received from the public was heart-warming,moving .,heart-warming,"[(9, 11)]","[(9, 10)]",1
miles away,"Just by reading her facial expressions , I can easily tell you that she is thinking about something else .","Just by reading her facial expressions , I can easily tell you that she is miles away .",thinking about something else,miles away,"[(15, 19)]","[(15, 17)]",1
fall for,I think Charlie has fallen in love with Jenny .,I think Charlie has fallen for Jenny .,in love with,for,"[(5, 8)]","[(5, 6)]",1
tall poppy,Recently a party was hosted in the city where all the wealthy people were invited to raise charity for clean shelters in suburbs .,Recently a party was hosted in the city where all the tall poppies were invited to raise charity for clean shelters in suburbs .,wealthy people,tall poppies,"[(11, 13)]","[(11, 13)]",1
come on,The waiter asked us to come and get the table before the people who had reserved it would arrive .,The waiter asked us to come on and get the table before the people who had reserved it would arrive .,,on,[],"[(6, 7)]",1
in the cross hairs,The man was a target from the very beginning of the interrogation .,The man was in the cross hairs from the very beginning of the interrogation .,a target,in | cross hairs,"[(3, 5)]","[(3, 4), (5, 7)]",2
the calm before the storm,"The family 's meeting on property dispute begins today and I 'm just sitting down with a cup of coffee , enjoying the peace before the argument .","The family 's meeting on property dispute begins today and I 'm just sitting down with a cup of coffee , enjoying the calm before the storm .",peace | argument,calm | storm,"[(23, 24), (26, 27)]","[(23, 24), (26, 27)]",2
there's no time like the present,The master chef always told me that right now is the best time to start working on your signature dish .,The master chef always told me that there 's no time like the present to start working on your signature dish .,right now is | best,there 's no | like | present,"[(7, 10), (11, 12)]","[(7, 10), (11, 12), (13, 14)]",3
variety is the spice of life,I started learning tennis after having tried swimming because exploring new opportunities makes life interesting .,I started learning tennis after having tried swimming because variety is the spice of life .,exploring new opportunities makes | interesting,variety is the spice of,"[(9, 13), (14, 15)]","[(9, 14)]",2
ants in pants,The young students just ca n't sit still ; they must be very excited or worried about something .,The young students just ca n't sit still ; they must have ants in their pants .,be very excited or worried about something,have ants in their pants,"[(11, 18)]","[(11, 16)]",1
a dime a dozen,Adventure and traveling based reality shows are now outdated and common .,Adventure and traveling based reality shows are now outdated and a dime a dozen .,common,a dime a dozen,"[(10, 11)]","[(10, 14)]",1
come what may,The girl has decided to marry him even though her parents did n't approve and face the wrath .,The girl has decided to marry him even though her parents did n't approve come what may .,and face the wrath,come what may,"[(14, 18)]","[(14, 17)]",1
axe to grind,He should not become the chairman of the committee as he has too many ulterior motives .,He should not become the chairman of the committee as he has too many axes of his own to grind .,ulterior motives,axes | his own to grind,"[(14, 16)]","[(14, 15), (16, 20)]",2
ginger up,As soon as they heard about the picnic the children in the class get excited .,As soon as they heard about the picnic the children in the class gingered up .,get excited,gingered up,"[(13, 15)]","[(13, 15)]",1
take aback,We were all quite surprised by his decision to retire from upcoming football tournament .,We were all quite taken aback by his decision to retire from upcoming football tournament .,surprised,taken aback,"[(4, 5)]","[(4, 6)]",1
round the clock,The counselor has been working all day and night with patients .,The counselor has been working round the clock with patients .,all day and night,round the clock,"[(5, 9)]","[(5, 8)]",1
turn over a new leaf,He has really changed course .,He has really turned over a new leaf .,changed course,turned over a new leaf,"[(3, 5)]","[(3, 8)]",1
stand out,The blood vessels in the back of his right leg were noticeable .,The blood vessels in the back of his right leg stood out .,were noticeable,stood out,"[(10, 12)]","[(10, 12)]",1
arm in arm,"By each other 's side , they went through everything together .","Arm in arm , they went through everything together .",By each other 's side,Arm in arm,"[(0, 5)]","[(0, 3)]",1
drive crazy,He irritates me with the lazy way he executes all his tasks .,He drives me crazy with the lazy way he executes all his tasks .,irritates,drives | crazy,"[(1, 2)]","[(1, 2), (3, 4)]",2
hang up,If you do not stop complaining then I will disconnect from the phone call on you .,If you do not stop complaining then I will hang up on you .,disconnect from the phone call,hang up,"[(9, 14)]","[(9, 11)]",1
before one can say Jack Robinson,I wanted to have a meaningful conversation with him when he was back from work but he left so quickly .,I wanted to have a meaningful conversation with him when he was back from work but he was gone before I could say Jack Robinson .,left so quickly,gone before | could say Jack Robinson,"[(17, 20)]","[(18, 20), (21, 25)]",2
blazing row,"After having a big fight with his wife , he stormed out of the room and banged the door behind him .","After having a blazing row with his wife , he stormed out of the room and banged the door behind him .",big fight,blazing row,"[(3, 5)]","[(3, 5)]",1
not hurt a fly or flea,"He is such an innocent little child , he could not hurt anything .","He is such an innocent little child , he could not hurt a fly .",anything,a fly,"[(12, 13)]","[(12, 14)]",1
heart goes out to,"Following the aftermath of the hurricane , I am sympathetic to all the residents of New Orleans .","Following the aftermath of the hurricane , my heart goes out to all the residents of New Orleans .",I am sympathetic,my heart goes out,"[(7, 10)]","[(7, 11)]",1
strike while the iron is hot,"The study plans were such that it required you to read when your mind was fresh , take advantage of having a fresh mind .","The study plans were such that it required you to read when your mind was fresh , strike while the iron is hot .",take advantage of having a,strike while the iron is hot,"[(17, 22)]","[(17, 23)]",1
on the same page,The confusion arose because they were not in agreement .,The confusion arose because they were not on the same page .,in agreement,on the same page,"[(7, 9)]","[(7, 11)]",1
on the dot,We were asked to be there at five precisely .,We were asked to be there at five on the dot .,precisely,on the dot,"[(8, 9)]","[(8, 11)]",1
end of the day,"when all has been said and done , I have decided that law school would be the best path for me .","At the end of the day , I have decided that law school would be the best path for me .",when all has been said and done,At | end of | day,"[(0, 7)]","[(0, 1), (2, 4), (5, 6)]",3
wag the dog,The prime minister keeps changing topic to keep people from actually finding out about the scam and its details .,The prime minister keeps wagging the dog to keep people from actually finding out about the scam and its details .,changing topic,wagging | dog,"[(4, 6)]","[(4, 5), (6, 7)]",2
bite off more than can chew,"By accepting two part-time jobs , he is clearly promising more than he can achieve .","By accepting two part-time jobs , he is clearly biting off more than he can chew .",promising | achieve,biting off | chew,"[(9, 10), (14, 15)]","[(9, 11), (15, 16)]",2
cock and bull story,She started to tell some far fetched story to the police officers about how she found a huge bag containing 5 pounds of gold .,She started to tell some cock and bull story to the police officers about how she found a huge bag containing 5 pounds of gold .,far fetched,cock and bull,"[(5, 7)]","[(5, 8)]",1
act of God,No matter how strong you are but you ca n't stop the acts outside your control .,No matter how strong you are but you ca n't stop the acts of God .,outside your control,of God,"[(13, 16)]","[(13, 15)]",1
new kid on the block,As I am the new kid I know that I will have to work hard to prove myself .,As I am the new kid on the block I know that I will have to work hard to prove myself .,,on | block,[],"[(6, 7), (8, 9)]",2
make the best of,The sun was shining so he looked for the positive side of his day and went to the beach with his family .,The sun was shining so he made the best of his day and went to the beach with his family .,looked for | positive side,made | best,"[(6, 8), (9, 11)]","[(6, 7), (8, 9)]",2
in vain,This endeavor was useless .,This endeavor was all in vain .,useless,all in vain,"[(3, 4)]","[(3, 6)]",1
sick as a dog,He seemed to be very sick according to his friends .,He seemed to be as sick as a dog according to his friends .,very,as | as a dog,"[(4, 5)]","[(4, 5), (6, 9)]",2
chill to the marrow,The movie made me very scared and I am not recommending it to anyone and It is horrible .,The movie gave me a chill to the marrow and I am not recommending it to anyone and It is horrible .,made | very scared,gave | a chill | the marrow,"[(2, 3), (4, 6)]","[(2, 3), (4, 6), (7, 9)]",3
sell like hot cakes,These books are selling out so fast .,These books are selling like hotcakes .,out so fast,like hotcakes,"[(4, 7)]","[(4, 6)]",1
just what the doctor ordered,That meal was just the right thing at the right time,That meal was just what the doctor ordered,right thing at | right time,what | doctor ordered,"[(5, 8), (9, 11)]","[(4, 5), (6, 8)]",2
get off,"If we leave work , with permission before five o'clock the traffic will not be as bad .",If we get off before five o'clock the traffic will not be as bad .,"leave work , with permission",get off,"[(2, 7)]","[(2, 4)]",1
method to madness,"They have a crazy schedule , but taking all things into account , there 's a reason for their strange behavior .","They have a crazy schedule , but taking all things into account , there 's a method to their madness .",reason for | strange behavior,method to | madness,"[(16, 18), (19, 21)]","[(16, 18), (19, 20)]",2
come to a head,The negative political climate in America seems to have come to a point needing action .,The negative political climate in America seems to have come to a head .,point needing action,head,"[(12, 15)]","[(12, 13)]",1
out of the closet,He was in his late teens when he told his secret publicly .,He was in his late teens when he came out of the closet .,told | secret publicly,came out of the closet,"[(8, 9), (10, 12)]","[(8, 13)]",2
look forward,I am excited about seeing my best friend next weekend and I have not seen him for six months .,I am looking forward to seeing my best friend next weekend and I have not seen him for six months .,excited about,looking forward to,"[(2, 4)]","[(2, 5)]",1
butterflies in stomach,He was very nervous and restless as he walked out onto the stage for his dance performance .,He had butterflies in his stomach as he walked out onto the stage for his dance performance .,was very nervous and restless,had butterflies in | stomach,"[(1, 6)]","[(1, 4), (5, 6)]",2
apples to oranges,We can not compare Sara and Salina and They are very different .,We can not compare Sara and Salina and They are apples and oranges .,very different,apples | oranges,"[(10, 12)]","[(10, 11), (12, 13)]",2
pedal to the metal,I need to submit this assignment in two days time and I have to work at full speed else I will miss the deadline .,I need to submit this assignment in two days time and I have to put pedal to the metal else I will miss the deadline .,work at full speed,put pedal | metal,"[(14, 18)]","[(14, 16), (18, 19)]",2
you wish,I told Steve that Hannah would agree to going to prom with me and he said `` in your dreams '',I told Steve that Hannah would agree to going to prom with me and he said `` you wish ! '',in your dreams,you wish !,"[(17, 20)]","[(17, 20)]",1
pass away,Martha let us know that our grandfather died two nights ago .,Martha let us know that our grandfather passed away two nights ago .,died,passed away,"[(7, 8)]","[(7, 9)]",1
zenith of career or life,The birth of his daughter was the pinnacle of his life .,The birth of his daughter was the zenith of his life .,pinnacle,zenith,"[(7, 8)]","[(7, 8)]",1
treasure trove,"After his mother 's death , David found an assortment of valuables when he found her collection of music records .","After his mother 's death , David found a treasure trove when he found her collection of music records .",an assortment | valuables,a treasure trove,"[(8, 10), (11, 12)]","[(8, 11)]",2
