normal,metaphorical,literal_segments,metaphor_segments,literal_positions,metaphor_positions,num_differences
As the looks they gave her.,"At the looks they  cast  upon her ,",As the looks they | gave her,At the looks they | cast upon her,"[(1, 4), (5, 6)]","[(1, 4), (5, 8)]",2
My friend was so scared that he became pale and speechless after the violent storm.,When I looked at my friend after the storm he was a ghost.,became pale and speechless,When I looked at my friend,"[(8, 11)]","[(1, 6)]",1
The measures which were announced have affected the economy.,The new measures jostled the economy.,The measures which were announced have affected the economy,The new measures jostled the economy,"[(1, 9)]","[(1, 6)]",1
I've reached my limit of patience.,I've reached my boiling point.,my limit of patience,my boiling point,"[(3, 6)]","[(3, 5)]",1
Such an excessively silent night.,When the noiseless night  descended.,Such an excessively silent night,When the noiseless night,"[(1, 5)]","[(1, 4)]",1
He knew how to write down something nice and pleasant.,He knew how to write sweet words.,down something nice and pleasant,sweet words,"[(6, 10)]","[(6, 7)]",1
Stock prices are increasing more and more.,Stock prices are growing higher.,increasing more and more,growing higher,"[(4, 7)]","[(4, 5)]",1
Alexander was super excited and his mood improved.,Alexander's spirits rose.,Alexander was super excited and his mood improved,Alexander's spirits rose,"[(1, 8)]","[(1, 3)]",1
"On the lawn, he applied fertilizer.",He lathered fertilizer over the lawn.,applied fertilizer,lathered fertilizer,"[(5, 6)]","[(2, 3)]",1
"Since once they reach the ground, humans just forget about it.","As they strike the ground, they are effaced.",humans just forget about it,are effaced,"[(7, 11)]","[(7, 8)]",1
He got paddled by his thoughts and now he is suffering.,"For his thoughts as paddles  served  him ,",and now he is suffering,as paddles served him,"[(7, 11)]","[(4, 7)]",1
Some nice results became apparent from the study.,Some nice results emerged from the study.,became apparent from the study,emerged from the study,"[(4, 8)]","[(4, 7)]",1
The crisis has made life almost unbearable.,With the crisis the bubble exploded.,has made life almost unbearable,the bubble exploded,"[(3, 7)]","[(4, 6)]",1
 The future because it looks very bright.,The future looks very promising.,because it looks very bright,looks very promising,"[(3, 7)]","[(3, 5)]",1
For they have the ability to help each other because they listen to each other's advice.,"For they  kept  each other 's counsel ,",have the ability to help each other,s counsel,"[(3, 9)]","[(6, 7)]",1
Whom fate has met with a weight of woes.,Whom fate has slapped with a weight of woes.,met with a weight of woes,slapped with a weight of woes,"[(4, 9)]","[(4, 9)]",1
The spasm convulses her facial muscles.,The spasm twists her facial muscles.,convulses her facial muscles,twists her facial muscles,"[(3, 6)]","[(3, 6)]",1
You have to deal with the very things that scare you to overcome your fears.,You have to head straight into your fears to win them.,deal with the very things that scare you,head straight into your fears,"[(4, 11)]","[(4, 8)]",1
Their language intends to cause us to believe them.,Their language inclines us to believe them.,intends to cause us to believe them,inclines us to believe them,"[(3, 9)]","[(3, 7)]",1
And the song this shape reminded one of.,And the song this shape  suggested.,reminded one of,suggested,"[(6, 8)]","[(6, 6)]",1
"I wanted to get money, but the ATM did not work.","I wanted to get money, but the ATM froze.",did not work,froze,"[(9, 11)]","[(9, 9)]",1
He crushed remorse and pushed down despair.,He crushed remorse and stifled down despair.,pushed down despair,stifled down despair,"[(5, 7)]","[(5, 7)]",1
The cigarettes affected his health.,The cigarettes rained on his health.,affected his health,rained on his health,"[(3, 5)]","[(3, 6)]",1
There is no golden light surrounded the red brick house today.,No golden light bathed the red brick of the house .,house today,of the house,"[(10, 11)]","[(8, 10)]",1
"The house was so dark, silent and dreary.",The house was a tomb.,"so dark, silent and dreary",a tomb,"[(4, 8)]","[(4, 5)]",1
She is living in a confused state.,She is fishing in troubled waters.,living in a confused state,fishing in troubled waters,"[(3, 7)]","[(3, 6)]",1
I will never even think of reading other people's mail since it is so unethical.,I won't stoop to reading other people's mail.,will never even think,won't stoop,"[(2, 5)]","[(2, 3)]",1
 The train horn  ruin the peaceful environment.,The train horn disemboweled the peace.,ruin the peaceful environment,disemboweled the peace,"[(4, 7)]","[(4, 6)]",1
This was conveniently summarized briefly in the first try .,This was conveniently encapsulated in the first try .,summarized briefly in the first try,encapsulated in the first try,"[(4, 9)]","[(4, 8)]",1
Hillary denied the accusations and acted like she didn't even hear them.,Hillary brushed aside the accusations.,and acted like she didn't even hear them,brushed aside the accusations,"[(5, 12)]","[(2, 5)]",1
The bullet stabbed her chest.,The bullet snuck into her chest.,stabbed her chest,snuck into her chest,"[(3, 5)]","[(3, 6)]",1
Her eyes were really tiny and bright.,Her eyes were fireflies.,really tiny and bright,fireflies,"[(4, 7)]","[(4, 4)]",1
She teased him and diminished his ego with her words.,She cut him down with her words.,teased him and diminished his ego with her words,cut him down with her words,"[(2, 10)]","[(2, 7)]",1
The mountain was entirely covered with snow.,The mountain was blanketed with snow.,entirely covered with snow,blanketed with snow,"[(4, 7)]","[(4, 6)]",1
The change really begin back in 1943.,The seeds of change were planted in 1943.,The change really begin back in 1943,The seeds of change were planted in 1943,"[(1, 7)]","[(1, 8)]",1
"Even when the situation was at its worst, we still kept our hope high.",In the worst of times we looked at hope  shining in the dark.,still kept our hope,of times we,"[(10, 13)]","[(4, 6)]",1
The news were revealed to the paper.,The news were leaked to the paper.,revealed to the paper,leaked to the paper,"[(4, 7)]","[(4, 7)]",1
Which horse are you betting  on.,Which horse are you depending  on.,betting on,depending on,"[(5, 6)]","[(5, 6)]",1
"Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .","Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .",given excessive and meaningless words by media and politicians,media-and-politician inflated,"[(14, 22)]","[(14, 15)]",1
Events like that could totally mess up the balance of power between countries.,These events could shape the balance of power.,Events like that could totally mess up,These events could shape,"[(1, 7)]","[(1, 4)]",1
"For her, all the men to go crazy.",She swallowed all the men's hearts.,the men to go crazy,She swallowed all the,"[(4, 8)]","[(1, 4)]",1
She openly give her point of view on the less fortunate's problem.,She aired her opinions on welfare.,the less fortunate's problem,aired her opinions on,"[(9, 12)]","[(2, 5)]",1
His declarations excited the community.,His declarations sparked a fire in the community.,excited the community,sparked a fire in the community,"[(3, 5)]","[(3, 8)]",1
So many people were killed in the war.,The war devoured so many lives.,people were killed in the war,devoured,"[(3, 8)]","[(3, 3)]",1
"Like a mother covering her infant child, snow covered the earth.",The snow blanketed the earth like a mother would her infant child.,snow covered the earth,The snow blanketed the earth,"[(8, 11)]","[(1, 5)]",1
Such beauty and unique wonderful effect in the meadows of blossoms .,"All the meadows  wave  with blossoms ,",Such beauty and unique wonderful effect in the meadows,wave with blossoms,"[(1, 9)]","[(4, 6)]",1
The music that played in the background.,The music frolicked in the background.,that played in the background,frolicked in the background,"[(3, 7)]","[(3, 6)]",1
She knew she was making a total fool of herself.,She knew she was burning in shame.,making a total fool of herself,burning in shame,"[(5, 10)]","[(5, 7)]",1
He swung the war-club and broke the door.,With his war-club smote the doorways.,and broke the,With his war-club,"[(5, 7)]","[(1, 3)]",1
The ex-slave died shortly after she got freedom.,The ex-slave tasted freedom shortly before she died.,died shortly after she got freedom,tasted freedom shortly before she died,"[(3, 8)]","[(3, 8)]",1
There's a red fireball burning among the clouds.,A flame ablaze that sprints amid the skies.,a red fireball burning among the,A flame ablaze that sprints amid the,"[(2, 7)]","[(1, 7)]",1
The politician harmed his rival politically.,The politician clawed his rival.,harmed his rival politically,clawed his rival,"[(3, 6)]","[(3, 5)]",1
We could painfully feel each blade of grass because we were barefooted.,Each blade of grass was a bayonet pointed firmly at our bare feet.,because we were barefooted,a bayonet pointed firmly at our bare feet,"[(9, 12)]","[(6, 13)]",1
It's always time-consuming to see justice prevail on injustice.,The wheels of justice turn slowly.,It's always time-consuming to see justice,The wheels of justice,"[(1, 6)]","[(1, 4)]",1
The moon reflects its face onto the surface of the lake.,The moon betrayed back at itself from the lake’s surface.,reflects its face onto the surface of the lake,betrayed back at itself from the lake’s surface,"[(3, 11)]","[(3, 10)]",1
If you have a high number of minor problems you cannot focus on what matters,If you are drowning in a sea of minor problems you cannot focus on what matters.,have a high number of minor problems you cannot focus on what matters,are drowning in a sea of minor problems you cannot focus on what matters,"[(3, 15)]","[(3, 16)]",1
David looked at Paul very angrily when Paul invited his new girlfriend to dance.,David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance.,very angrily,David’s eyes were like daggers,"[(5, 6)]","[(1, 5)]",1
The value of a dollar has reduced so much now by inflation.,The dollar has been dragged by inflation.,The value of a dollar has reduced so much now by inflation,The dollar has been dragged by inflation,"[(1, 12)]","[(1, 7)]",1
Everything is back to the way it was before.,The wheel has come full circle.,Everything is back to the,The wheel has come full circle,"[(1, 5)]","[(1, 6)]",1
The huge waves really hit the small boat and sank it just before it docked.,The huge waves attacked the small boat and it sank shortly thereafter.,really hit the small boat | sank it just before it docked,attacked the small boat | it sank shortly thereafter,"[(4, 8), (10, 15)]","[(4, 7), (9, 12)]",2
The residents of this village were devoted in belief to catholicism .,The residents of this village adhered to catholicism.,were devoted in belief to catholicism,adhered to catholicism,"[(6, 12)]","[(6, 8)]",1
You might have assumed this was the police scaring with a false show of strength and bullying .,You might have assumed this was the police bluffing and bullying .,scaring with a false show of strength,bluffing,"[(9, 15)]","[(9, 9)]",1
"Let puritans and pessimists damn , disapprove or dismiss these strong desires ; that is their loss .","Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .",these strong desires,these appetites,"[(10, 12)]","[(10, 11)]",1
He did not want to acknowledge reality and kept denying it.,He was living in his dream world  shutting his eyes in front of reality.,did not want to acknowledge reality,was living in his dream world shutting his eyes in front of reality,"[(2, 7)]","[(2, 14)]",1
It was so difficult to live in a camp that it made him tired.,Life in the camp drained him.,It was so difficult to live,Life,"[(1, 6)]","[(1, 1)]",1
Earthquake hath continued deeply its tale on them.,Earthquake hath swam deeply its tale on them.,continued deeply its tale on them,swam deeply its tale on them,"[(3, 8)]","[(3, 8)]",1
Adrenaline flows through him powerfully.,Adrenaline surges through him powerfully.,flows through him powerfully,surges through him powerfully,"[(2, 5)]","[(2, 5)]",1
They had to sort things out before the duke showed up.,They had to pigeonhole things out until the Duke arrived.,sort things out before the duke showed up,pigeonhole things out until the Duke arrived,"[(4, 11)]","[(4, 10)]",1
They never said that they are germans.,they never mentioned being germans.,said that they are germans,mentioned being germans,"[(3, 7)]","[(3, 5)]",1
His devotion to his sick wife caused him to have a lonely existence.,His devotion to his sick wife condemned him to a lonely existence.,caused him to have a lonely existence,condemned him to a lonely existence,"[(7, 13)]","[(7, 12)]",1
The scream tore through the night.,The scream pierced the night.,tore through the night,pierced the night,"[(3, 6)]","[(3, 5)]",1
The snow was so deep and thick it covered the earth like a mother would her infant child.,The snow swaddled the earth like a mother would her infant child.,was so deep and thick it covered the earth like a mother would her infant child,swaddled the earth like a mother would her infant child,"[(3, 18)]","[(3, 12)]",1
He lay before the gathering sun.,He lay before the beaming sun.,the gathering sun,the beaming sun,"[(4, 6)]","[(4, 6)]",1
After venting his anger he sat down very quietly.,After letting off his rage he sat down like a lamb.,venting his anger he sat down | very quietly,letting off his rage he sat down | like a lamb,"[(2, 7), (8, 9)]","[(2, 8), (9, 11)]",2
There was a mass genocide perpetrated by the force on the civilians.,The force erased the civilians in 1915.,There was a mass genocide perpetrated by the force,in 1915,"[(1, 9)]","[(6, 7)]",1
Alex broke the process and disclosed it.,Alex leaked the process.,broke the process and disclosed it,leaked the process,"[(2, 7)]","[(2, 4)]",1
Bill tore apart every weak point in Rob's argument.,Bill attacked every weak point in Rob's argument.,tore apart every weak point in Rob's argument,attacked every weak point in Rob's argument,"[(2, 9)]","[(2, 8)]",1
She said that infidelity was apparent to her.,She said that she could smell infidelity from a mile.,that infidelity was apparent to her,that she could smell infidelity from a mile,"[(3, 8)]","[(3, 10)]",1
He is grinning revealing his large teeth.,He is grinning like an ape.,revealing his large teeth,like an ape,"[(4, 7)]","[(4, 6)]",1
He got an illness which made him quickly die.,He was slapped with a terrible illness that killed him quickly.,got an illness which made him quickly die,was slapped with a terrible illness that killed him quickly,"[(2, 9)]","[(2, 11)]",1
The sales tax is incorporated into the state income tax .,The sales tax is absorbed into the state income tax.,incorporated,absorbed,"[(5, 5)]","[(5, 5)]",1
"Despite his rival's efforts, the politician won.",The politician toppled his rival.,his rival's efforts,toppled his,"[(2, 4)]","[(3, 4)]",1
The effects of these events could lead to chaos and anarchy.,These events could tilt the balance of power.,lead to chaos and anarchy,tilt the balance of power,"[(7, 11)]","[(4, 8)]",1
A fly landed on the empty and crawled across it.,"A fly landed on the empty , staring vizor , and crawled across it .",A fly landed on the empty and crawled across it,staring vizor,"[(1, 10)]","[(8, 9)]",1
The Senator criticized the administration in his speech on Friday.,The Senator attacked the administration in his speech on Friday.,criticized the administration in his speech on Friday,attacked the administration in his speech on Friday,"[(3, 10)]","[(3, 10)]",1
Andrew and Bill were very witty and had very funny jokes.,"If wits were pins, Andrew and Bill would be veritable hedgehogs.",very witty and had very funny jokes,would be veritable hedgehogs,"[(5, 11)]","[(8, 11)]",1
The sudden fame increased her ego.,The sudden fame kindled her ego.,increased her ego,kindled her ego,"[(4, 6)]","[(4, 6)]",1
It's hurtful when a breakup makes you feel lonely and sad.,A break up can leave you with a broken heart.,feel lonely and sad,A break up can leave you,"[(8, 11)]","[(1, 6)]",1
We totally thrashed them from the first minute to the last and left no breathing space.,We rattled them from the first minute and did n't give them any breathing space .,totally thrashed them from the first minute | to the last and left no breathing space,rattled them from the first minute | and did n't give them any breathing space,"[(2, 8), (9, 16)]","[(2, 7), (8, 16)]",2
Don't change my words.,Don't remix my words.,change my words,remix my words,"[(2, 4)]","[(2, 4)]",1
Job candidates were screened quickly.,They breezed through the job candidates.,were screened quickly,They breezed through the job candidates,"[(3, 5)]","[(1, 6)]",1
Arjun was feeling a strong affection.,Arjun was in love.,feeling a strong affection,in love,"[(3, 6)]","[(3, 4)]",1
Duryodhan never found peace because of his utter confusion.,"Duryodhan's life had a superb cast, but he couldn't figure out the plot.",Duryodhan never found peace because of his utter confusion,"Duryodhan's life had a superb cast, but he couldn't figure out the plot","[(1, 9)]","[(1, 13)]",1
The comedian's stand-up act brought down the house.,The comedian convulsed the crowd.,The comedian's stand-up act brought down the house,The comedian convulsed the crowd,"[(1, 8)]","[(1, 5)]",1
Dimples formed in his cheeks.,Dimples burst forth in his cheeks.,formed in his cheeks,burst forth in his cheeks,"[(2, 5)]","[(2, 6)]",1
Demand for the product increase when prices went down.,Sales were climbing after prices were lowered.,Demand for the product increase when prices,Sales were climbing after prices,"[(1, 7)]","[(1, 5)]",1
Avon proceeds warily .,Avon treads warily .,proceeds warily,treads warily,"[(2, 3)]","[(2, 3)]",1
The music builds to a crescendo.,The music swelled to a crescendo.,builds to a crescendo,swelled to a crescendo,"[(3, 6)]","[(3, 6)]",1
There was an opportunity knocking at her door and she did not realize it.,She did not realize that opportunity was waltzing at her door.,There was an opportunity knocking at her door,that opportunity was waltzing at her door,"[(1, 8)]","[(5, 11)]",1
The scream filled the night,The scream covered the night.,filled the night,covered the night,"[(3, 5)]","[(3, 5)]",1
The panes of the windows were rattling whenever there is a strong wind.,The window panes were trembling as the wind blew through them.,rattling whenever there is a strong wind,blew through them,"[(7, 13)]","[(9, 11)]",1
Her optimism gave me a new-found hope.,Her optimism flicked away these worries.,gave me a new-found hope,flicked away these worries,"[(3, 7)]","[(3, 6)]",1
That my vengeance shall not affect him !.,That my vengeance shall not  reach  him ! .,affect him,reach him !,"[(6, 8)]","[(6, 9)]",1
"With the help of alcohol, she overcame her problems.",She drowned her trouble in alcohol.,With the help of alcohol,her trouble in alcohol,"[(1, 5)]","[(3, 6)]",1
The music was played in the background.,The music swelled in the background.,was played in the background,swelled in the background,"[(3, 7)]","[(3, 6)]",1
I have to terminate the program.,I have to kill the program.,terminate the program,kill the program,"[(4, 6)]","[(4, 6)]",1
The soldiers were extremely violent and threatening.,The soldiers were devils.,extremely violent and threatening,devils,"[(4, 7)]","[(4, 4)]",1
That faint fragrance must be the product of a soft and cute smelling hair.,Of that faint fragrance spiraling from her soft hair.,must be the product of a soft and cute smelling,spiraling from her soft,"[(4, 13)]","[(5, 8)]",1
As the ice is carried from rivers.,"As the ice is  swept  from rivers ,",carried from rivers,swept from rivers,"[(5, 7)]","[(5, 8)]",1
The greedy businessman embezzled the company and Kited millions of dollars.,The businessman kited millions of dollars.,The greedy businessman embezzled the company and Kited millions of dollars,The businessman kited millions of dollars,"[(1, 11)]","[(1, 6)]",1
The wildfire spread so fast through the forest to my amazement.,The wildfire leapt through the forest at an amazing speed.,spread so fast through the forest | to my amazement,leapt through the forest | at an amazing speed,"[(3, 8), (9, 11)]","[(3, 6), (7, 10)]",2
We spent money on the education of our children.,We funneled money into the education of our children.,spent money on the education of our children,funneled money into the education of our children,"[(2, 9)]","[(2, 9)]",1
The faculty meeting was ridiculous.,The faculty meeting was a comedy show.,ridiculous,a comedy show,"[(5, 5)]","[(5, 7)]",1
The faculty meeting was chaotic and ridiculous.,The faculty meeting was a circus.,chaotic and ridiculous,a circus,"[(5, 7)]","[(5, 6)]",1
"She had to manage her job, husband, and children.",She had to tend to her job and her children.,"manage her job, husband, and children",tend to her job and her children,"[(4, 9)]","[(4, 10)]",1
Black desert covered in iron silences.,Black desert rained in iron silences.,covered in iron silences,rained in iron silences,"[(3, 6)]","[(3, 6)]",1
Allister enjoys drinking Bordeaux wine on a regular basis.,Allister drinks Bordeaux often.,enjoys drinking Bordeaux wine on a regular basis,drinks Bordeaux often,"[(2, 9)]","[(2, 4)]",1
Katie wasted her time and energy trying to get into college because she was delusional about her abilities.,Katie’s plan to get into college was a house of cards on a crooked table.,Katie wasted her time and energy trying to get into college | because she was delusional about her abilities,Katie’s plan to get into college | was a house of cards on a crooked table,"[(1, 11), (12, 18)]","[(1, 6), (7, 15)]",2
The old tenant expressed mixed feelings in his speech.,The old tenant gave a bittersweet speech.,expressed mixed feelings in his speech,gave a bittersweet speech,"[(4, 9)]","[(4, 7)]",1
She ends her boring lectures with a funny punchline.,She seals her lectures with joke.,ends her boring lectures with a funny punchline,seals her lectures with joke,"[(2, 9)]","[(2, 6)]",1
The audience was running out of the theater.,People were bolting out of the theater.,The audience was running out,People were bolting out,"[(1, 5)]","[(1, 4)]",1
Far above him things moved in the heavens.,"Far above him  swam  the heavens ,",things moved in the heavens,swam the heavens,"[(4, 8)]","[(4, 7)]",1
"In the days long since past ,","In the days long since  departed  ,",past,departed,"[(6, 6)]","[(6, 6)]",1
She thinks its funny to end her lecture with a joke.,She garnishes her lectures with joke.,thinks its funny to end her lecture with a joke,garnishes her lectures with joke,"[(2, 11)]","[(2, 6)]",1
The senator made an unfair comment about the administration and its personnel.,The Senator dissed the administration in his speech on Friday.,made an unfair comment about the administration,in his speech on Friday,"[(3, 9)]","[(6, 10)]",1
The taste of agony was overwhelming upon my tongue.,The taste of agony coated thick upon my tongue.,was overwhelming upon my tongue,coated thick upon my tongue,"[(5, 9)]","[(5, 9)]",1
She tended to be loud when speaking into a microphone.,She tended to blast when speaking into a microphone.,be loud when speaking into a microphone,blast when speaking into a microphone,"[(4, 10)]","[(4, 9)]",1
Travel became less appealing as she grew older.,Middle age minimized her appetite for travel.,became less appealing as she grew older,Middle age minimized her appetite for travel,"[(2, 8)]","[(1, 7)]",1
She totally fell into the trap of her luxurious life.,She relaxed into the luxury of life.,totally fell into the trap of her luxurious life,relaxed into the luxury of life,"[(2, 10)]","[(2, 7)]",1
The music goes on a really steep incline and then goes right down at the peak.,The music accumulates to a crescendo.,a really steep incline and then goes right down at the,accumulates to a,"[(5, 15)]","[(3, 5)]",1
She pushed against the wall with all her strength.,She pressed against the wall with all her strength.,pushed against the wall with all her strength,pressed against the wall with all her strength,"[(2, 9)]","[(2, 9)]",1
"Oh , and there 's one more thing you can be sure of , ’ he added sarcastically with a sharp tone in his voice.","Oh , and there 's one more thing you can be sure of , ’ he added sourly .",sarcastically with a sharp tone in his voice,sourly,"[(18, 25)]","[(18, 19)]",1
The woman was feeling a kind of melancholy.,The woman had a blue feeling.,was feeling a kind of melancholy,had a blue feeling,"[(3, 8)]","[(3, 6)]",1
"His heart in his chest suddenly and excitedly started pounding very rapidly,","And his heart within him  fluttered  ,",excitedly started pounding very rapidly,within him fluttered,"[(8, 12)]","[(4, 6)]",1
He looked neither one way nor the other way but sat completely still.,He looked neither one way nor the other way but sat like a carved image.,completely still,like a carved image,"[(12, 13)]","[(12, 15)]",1
"Sniffles, coughs, and colds develop in their breasts.","Sniffles, coughs, and colds buoyed in their breasts.",develop in their breasts,buoyed in their breasts,"[(5, 8)]","[(5, 8)]",1
The market is being obstructed by these operations.,The market is being clogged by these operations.,obstructed by these operations,clogged by these operations,"[(5, 8)]","[(5, 8)]",1
The chicken pasta has arrived and the customer is waiting for his check.,The chicken pasta is waiting for his check.,the customer,The chicken pasta,"[(7, 8)]","[(1, 3)]",1
He is now deformed after contracting leprosy.,His body was weathered by leprosy.,He is now deformed after contracting leprosy,His body was weathered by leprosy,"[(1, 7)]","[(1, 6)]",1
Authority needs legs to stand because without that it is useless.,"Authority is a chair, it needs legs to stand.",because without that it is useless,"a chair, it","[(6, 11)]","[(3, 5)]",1
The children danced with joy,The children frolicked with joy.,danced with joy,frolicked with joy,"[(3, 5)]","[(3, 5)]",1
He criticized me so bad that he brought out all my weaknesses.,He attacked every weak point in my argument.,criticized me so bad that he,attacked every weak point in my,"[(2, 7)]","[(2, 7)]",1
A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to get in the way of the shot .,A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .,get in the way of the shot,smother the shot,"[(20, 26)]","[(20, 22)]",1
Life is very difficult to understand and it poses many problems which needs to be solved.,Life is a foreign language: all men mispronounce it.”.,very difficult to understand and it poses many problems which needs to be solved,a foreign language: all men mispronounce it.”,"[(3, 16)]","[(3, 9)]",1
So disasters occur not singly.,So disasters  come  not singly .,occur not singly,come not singly,"[(3, 5)]","[(3, 6)]",1
He lay down in front of the rising sun.,He lay before the gathering sun.,down in front of the rising sun,before the gathering sun,"[(3, 9)]","[(3, 6)]",1
"Fell , and could not improve their situation from weakness.","Fell , and could not  rise  from weakness ,",improve their situation from weakness,rise from weakness,"[(6, 10)]","[(6, 9)]",1
He lived in a state of intense terror.,He lived in a state of deep terror.,intense terror,deep terror,"[(7, 8)]","[(7, 8)]",1
Everything flowed to his glory.,Everything bowed to his glory.,flowed to his glory,bowed to his glory,"[(2, 5)]","[(2, 5)]",1
Of the happy days that occurred afterward.,"Of the happy days that  followed  ,",that occurred afterward,that followed,"[(5, 7)]","[(5, 7)]",1
