normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
I'm really exhausted after a long day at work.,"I'm totally wiped after a long day at work, fr.",really exhausted | work.,"totally wiped | work, fr.","[(1, 3), (8, 9)]","[(1, 3), (8, 10)]",2
"Hey, are you free to hang out later?","Yo, you down to chill later?","Hey, are | free | hang out","Yo, | down | chill","[(0, 2), (3, 4), (5, 7)]","[(0, 1), (2, 3), (4, 5)]",3
I'm really excited about the concert tonight.,I'm hyped for the concert tonight.,really excited about,hyped for,"[(1, 4)]","[(1, 3)]",1
"Hey, are you coming to the party tonight?","Yo, you sliding to the party tonight?","Hey, are | coming","Yo, | sliding","[(0, 2), (3, 4)]","[(0, 1), (2, 3)]",2
I'm really tired today because I didn't sleep well.,"I'm so drained today, barely slept tbh.",really tired today because I didn't sleep well.,"so drained today, barely slept tbh.","[(1, 9)]","[(1, 7)]",1
I'm really excited about the concert this weekend.,I'm super hyped for the concert this weekend.,really excited about,super hyped for,"[(1, 4)]","[(1, 4)]",1
I'm just hanging out with my friends at the mall.,I'm just chillin' with my friends at the mall.,hanging out,chillin',"[(2, 4)]","[(2, 3)]",1
I'm just heading to the store to grab some snacks.,I'm just sliding to the store to cop some snacks.,heading | grab,sliding | cop,"[(2, 3), (7, 8)]","[(2, 3), (7, 8)]",2
I'm just going to chill at home and watch some movies.,"I'm just gonna vibing at home, bingeing some flicks.",going to chill | home and watch | movies.,"gonna vibing | home, bingeing | flicks.","[(2, 5), (6, 9), (10, 11)]","[(2, 4), (5, 7), (8, 9)]",3
I'm just going to chill at home today.,I'm just vibing at home today.,going to chill,vibing,"[(2, 5)]","[(2, 3)]",1
"I'm really tired today, I think I need some coffee.","I'm dead tired today, need some coffee to stay woke.",really | I think I | coffee.,dead | coffee to stay woke.,"[(1, 2), (4, 7), (9, 10)]","[(1, 2), (4, 4), (6, 10)]",3
I'm really tired today and just want to relax at home.,I'm super drained today and just wanna chill at home.,really tired | want to relax,super drained | wanna chill,"[(1, 3), (6, 9)]","[(1, 3), (6, 8)]",2
I'm just really tired today and not feeling up to going out.,I'm lowkey drained today and not tryna pop off outside.,just really tired | feeling up to going out.,lowkey drained | tryna pop off outside.,"[(1, 4), (7, 12)]","[(1, 3), (6, 10)]",2
I'm just really tired today because I didn’t sleep well.,I'm hella drained 'cause I didn't catch enough Z's.,just really tired today because | didn’t sleep well.,hella drained 'cause | didn't catch enough Z's.,"[(1, 6), (7, 10)]","[(1, 4), (5, 9)]",2
I'm really tired after a long day at work.,I'm super drained after all that at work today.,really tired | a long day | work.,super drained | all that | work today.,"[(1, 3), (4, 7), (8, 9)]","[(1, 3), (4, 6), (7, 9)]",3
"Hey, did you see the new movie that just came out?","Yo, did you peep the new flick that dropped?","Hey, | see | movie | just came out?","Yo, | peep | flick | dropped?","[(0, 1), (3, 4), (6, 7), (8, 11)]","[(0, 1), (3, 4), (6, 7), (8, 9)]",4
"I'm really tired today, I think I'll just stay home and relax.","I'm super drained today, imma just chill at home and  vibe.",really tired | I think I'll | stay | relax.,super drained | imma | chill at | vibe.,"[(1, 3), (4, 7), (8, 9), (11, 12)]","[(1, 3), (4, 5), (6, 8), (10, 11)]",4
I'm really tired today but I have to go to work.,I'm super exhausted today but I gotta hit up work.,really tired | have to go to,super exhausted | gotta hit up,"[(1, 3), (6, 10)]","[(1, 3), (6, 9)]",2
"Hey, how are you doing today?","Yo, what’s good? How you vibing today?","Hey, how are | doing","Yo, what’s good? How | vibing","[(0, 3), (4, 5)]","[(0, 4), (5, 6)]",2
I'm just hanging out with my friends at the park.,I'm just vibing with my squad at the park.,hanging out | friends,vibing | squad,"[(2, 4), (6, 7)]","[(2, 3), (5, 6)]",2
I'm really tired today because I didn't sleep well last night.,I'm mad tired today 'cause I didn't catch enough Z's last night.,really | because | sleep well,mad | 'cause | catch enough Z's,"[(1, 2), (4, 5), (7, 9)]","[(1, 2), (4, 5), (7, 10)]",3
I'm feeling really tired today because I didn't get enough sleep.,"I'm mad tired today 'cause I didn't sleep enough, fr.",feeling really | because | get enough sleep.,"mad | 'cause | sleep enough, fr.","[(1, 3), (5, 6), (8, 11)]","[(1, 2), (4, 5), (7, 10)]",3
"I'm really tired today, I think I need a coffee.","I'm so beat today, I need a coffee boost.",really tired | I think | coffee.,so beat | coffee boost.,"[(1, 3), (4, 6), (9, 10)]","[(1, 3), (4, 4), (7, 9)]",3
"Hey, do you want to grab coffee later?","Yo, wanna toss back a coffee later?","Hey, do you want to grab","Yo, wanna toss back a","[(0, 6)]","[(0, 5)]",1
It's really nice to see you today.,It's mad chill to catch you today.,really nice | see,mad chill | catch,"[(1, 3), (4, 5)]","[(1, 3), (4, 5)]",2
I'm just really tired today but I still have to go to work.,I'm down bad but gotta yeet to work anyway.,just really tired today | I still have | go to work.,down bad | gotta yeet | work anyway.,"[(1, 5), (6, 9), (10, 13)]","[(1, 3), (4, 6), (7, 9)]",3
"I'm really tired today, I might just stay home and relax.","I'm so exhausted today, lowkey just tryna chill at home.",really tired | I might | stay home and relax.,so exhausted | lowkey | tryna chill at home.,"[(1, 3), (4, 6), (7, 11)]","[(1, 3), (4, 5), (6, 10)]",3
I'm just really tired today because I didn't get enough sleep.,I'm mad tired today ’cause I didn’t catch enough Z’s.,just really | because | didn't get | sleep.,mad | ’cause | didn’t catch | Z’s.,"[(1, 3), (5, 6), (7, 9), (10, 11)]","[(1, 2), (4, 5), (6, 8), (9, 10)]",4
It's really hot outside today.,"Yo, it's mad hot out today.",It's really | outside,"Yo, it's mad | out","[(0, 2), (3, 4)]","[(0, 3), (4, 5)]",2
I'm feeling really tired after a long day at work.,"I'm totally drained after a long day at work, fr.",feeling really tired | work.,"totally drained | work, fr.","[(1, 4), (9, 10)]","[(1, 3), (8, 10)]",2
"It's really hot today, I don't want to go outside.","It's mad hot today, I can't even go outside, fr.",really | don't want to | outside.,"mad | can't even | outside, fr.","[(1, 2), (5, 8), (9, 10)]","[(1, 2), (5, 7), (8, 10)]",3
I'm feeling really tired today.,I'm hella drained today.,feeling really tired,hella drained,"[(1, 4)]","[(1, 3)]",1
I'm really tired today but I have to finish my homework.,I'm so drained today but gotta vibe through this homework.,really tired | I have to finish my,so drained | gotta vibe through this,"[(1, 3), (5, 10)]","[(1, 3), (5, 9)]",2
I'm really tired today because I stayed up late watching movies.,I'm hella exhausted 'cause I was up all night binge-watching movies.,really tired today because | stayed | late watching,hella exhausted 'cause | was | all night binge-watching,"[(1, 5), (6, 7), (8, 10)]","[(1, 4), (5, 6), (7, 10)]",3
I'm really tired because I didn't get enough sleep last night.,I'm dead tired 'cause I caught no Z's last night.,really | because | didn't get enough sleep,dead | 'cause | caught no Z's,"[(1, 2), (3, 4), (5, 9)]","[(1, 2), (3, 4), (5, 8)]",3
"I'm really tired today, I think I'll just relax at home.","I'm totally exhausted today, gonna just chill at my place.",really tired | I think I'll | relax | home.,totally exhausted | gonna | chill | my place.,"[(1, 3), (4, 7), (8, 9), (10, 11)]","[(1, 3), (4, 5), (6, 7), (8, 10)]",4
"I'm really tired today, I just want to relax.","I'm super wiped today, just tryna chill.",really tired | I | want to relax.,super wiped | tryna chill.,"[(1, 3), (4, 5), (6, 9)]","[(1, 3), (4, 4), (5, 7)]",3
I'm feeling really tired today.,"I'm so drained today, fr fr.",feeling really tired today.,"so drained today, fr fr.","[(1, 5)]","[(1, 6)]",1
I'm just relaxing at home after a long day.,Chillin' at home after a mad busy day.,I'm just relaxing | long,Chillin' | mad busy,"[(0, 3), (7, 8)]","[(0, 1), (5, 7)]",2
I'm really tired today because I stayed up late last night.,I'm so drained today 'cause I pulled an all-nighter last night.,really tired | because | stayed up late,so drained | 'cause | pulled an all-nighter,"[(1, 3), (4, 5), (6, 9)]","[(1, 3), (4, 5), (6, 9)]",3
"That movie was really good, I enjoyed it a lot.","That flick was fire, I was vibing with it big time.","movie | really good, | enjoyed | a lot.","flick | fire, | was vibing with | big time.","[(1, 2), (3, 5), (6, 7), (8, 10)]","[(1, 2), (3, 4), (5, 8), (9, 11)]",4
"Hey, do you want to grab some coffee later?","Yo, wanna catch some coffee later?","Hey, do you want to grab","Yo, wanna catch","[(0, 6)]","[(0, 3)]",1
"Hey, did you see that new movie last night? It was really good.","Yo, did you peep that lit new flick last night? It was fire.","Hey, | see | movie | really good.","Yo, | peep | lit | flick | fire.","[(0, 1), (3, 4), (5, 5), (6, 7), (11, 13)]","[(0, 1), (3, 4), (5, 6), (7, 8), (12, 13)]",4
I'm just really tired today and need some coffee.,"I'm mad drained today, lowkey need my caffeine fix.",just really tired today and | some coffee.,"mad drained today, lowkey | my caffeine fix.","[(1, 6), (7, 9)]","[(1, 5), (6, 9)]",2
I'm totally exhausted after that long day.,"I'm so drained after such a long day, fr fr.",totally exhausted | that | day.,"so drained | such a | day, fr fr.","[(1, 3), (4, 5), (6, 7)]","[(1, 3), (4, 6), (7, 10)]",3
I'm just going to hang out with my friends tonight.,I'm just chillin' with my squad tonight.,going to hang out | friends,chillin' | squad,"[(2, 6), (8, 9)]","[(2, 3), (5, 6)]",2
I'm really excited for the concert tonight!,I'm super hyped for the concert tonight!,really excited,super hyped,"[(1, 3)]","[(1, 3)]",1
I'm just going to chill at home tonight.,I'm just maxing at home tonight.,going to chill,maxing,"[(2, 5)]","[(2, 3)]",1
I'm going to grab some coffee. Do you want to come?,"I'm finna get some coffee, yolo? Do you wanna roll?",going to grab | coffee. | want to come?,"finna get | coffee, yolo? | wanna roll?","[(1, 4), (5, 6), (8, 11)]","[(1, 3), (4, 6), (8, 10)]",3
"I'm feeling really tired today, I think I need some coffee.","I'm deadass exhausted today, need that caffeine boost real quick.",feeling really tired | I think I | some coffee.,deadass exhausted | that caffeine boost real quick.,"[(1, 4), (5, 8), (9, 11)]","[(1, 3), (4, 4), (5, 10)]",3
"I'm really tired today, I think I need a nap.","I'm super drained today, I gotta catch some z's.",really tired | think I need a nap.,super drained | gotta catch some z's.,"[(1, 3), (5, 10)]","[(1, 3), (5, 9)]",2
Let's meet up at the cafe later to study.,"Yo, let's link at the cafe later to grind on some homework.",Let's meet up | study.,"Yo, let's link | grind on some homework.","[(0, 3), (8, 9)]","[(0, 3), (8, 12)]",2
I'm really tired today but I have to finish my homework.,I'm mad exhausted today but gotta grind on my homework.,really tired | I have to finish,mad exhausted | gotta grind on,"[(1, 3), (5, 9)]","[(1, 3), (5, 8)]",2
"Hey, did you see the new movie everyone was talking about?","Yo, did u peep the new flick everyone's hyped about?","Hey, | you see | movie everyone was talking","Yo, | u peep | flick everyone's hyped","[(0, 1), (2, 4), (6, 10)]","[(0, 1), (2, 4), (6, 9)]",3
"Hey, I'm just relaxing at home after a long day.","Yo, just chillin' at home after a long one.","Hey, I'm | relaxing | day.","Yo, | chillin' | one.","[(0, 2), (3, 4), (9, 10)]","[(0, 1), (2, 3), (8, 9)]",3
It's really hot outside today.,"It's mega hot out today, fr fr.",really | outside today.,"mega | out today, fr fr.","[(1, 2), (3, 5)]","[(1, 2), (3, 7)]",2
I'm just going to grab some coffee before work.,Gonna snag some coffee before the grind.,I'm just going to grab | work.,Gonna snag | the grind.,"[(0, 5), (8, 9)]","[(0, 2), (5, 7)]",2
I'm really excited to hang out with my friends this weekend.,I'm super hyped to chill with my crew this weekend.,really excited | hang out | friends,super hyped | chill | crew,"[(1, 3), (4, 6), (8, 9)]","[(1, 3), (4, 5), (7, 8)]",3
I'm really tired after working all day.,I'm dead tired after grinding all day.,really | working,dead | grinding,"[(1, 2), (4, 5)]","[(1, 2), (4, 5)]",2
I'm just really tired today and I don't want to go out.,I'm mad sleepy today and I can't be bothered to step out.,just really tired | don't want | go,mad sleepy | can't be bothered | step,"[(1, 4), (7, 9), (10, 11)]","[(1, 3), (6, 9), (10, 11)]",3
I'm going out with my friends tonight.,Chillin' with my squad tonight.,I'm going out | friends,Chillin' | squad,"[(0, 3), (5, 6)]","[(0, 1), (3, 4)]",2
"I'm really tired today, I just want to nap all afternoon.","I'm so drained today, all I wanna do is crash all arvo.",really tired | just want to nap | afternoon.,so drained | all | wanna do is crash | arvo.,"[(1, 3), (4, 4), (5, 9), (10, 11)]","[(1, 3), (4, 5), (6, 10), (11, 12)]",3
"Hey, do you want to hang out this weekend?","Yo, wanna chill this weekend?","Hey, do you want to hang out","Yo, wanna chill","[(0, 7)]","[(0, 3)]",1
I'm really tired because I stayed up late last night.,I'm hella drained 'cause I pulled an all-nighter yesterday.,really tired because | stayed up late last night.,hella drained 'cause | pulled an all-nighter yesterday.,"[(1, 4), (5, 10)]","[(1, 4), (5, 9)]",2
I'm just really tired today and just want to relax at home.,"I'm super drained today, just tryna chill at home.",really tired today and just want to relax,"super drained today, | tryna chill","[(1, 1), (2, 10)]","[(1, 4), (5, 7)]",1
I'm really tired today but I still have to finish my homework.,I'm super drained today but I gotta grind and finish my homework.,really tired | still have to,super drained | gotta grind and,"[(1, 3), (6, 9)]","[(1, 3), (6, 9)]",2
"I'm really tired today, I think I'll just stay in and relax.","I'm hella tired today, might just chill at home and vibing.",really | I think I'll | stay in | relax.,hella | might | chill at home | vibing.,"[(1, 2), (4, 7), (8, 10), (11, 12)]","[(1, 2), (4, 5), (6, 9), (10, 11)]",4
I'm just really tired today and don't feel like going out.,I'm mad tired today and not tryna dip out.,just really | don't feel like going,mad | not tryna dip,"[(1, 3), (6, 10)]","[(1, 2), (5, 8)]",2
"I'm really tired today, I just want to chill at home.","I'm dead tired today, just wanna veg at home.",really | I | want to chill,dead | wanna veg,"[(1, 2), (4, 5), (6, 9)]","[(1, 2), (4, 4), (5, 7)]",3
I'm really tired today because I stayed up late studying.,I'm mad tired today 'cause I pulled an all-nighter hitting the books.,really | because | stayed up late studying.,mad | 'cause | pulled an all-nighter hitting the books.,"[(1, 2), (4, 5), (6, 10)]","[(1, 2), (4, 5), (6, 12)]",3
I'm really tired today after a long week.,"I'm so drained after this crazy week, fr.",really tired today | a long week.,"so drained | this crazy week, fr.","[(1, 4), (5, 8)]","[(1, 3), (4, 8)]",2
"I'm really tired today, I might just relax at home.","I'm hella exhausted today, might just chill at home.",really tired | I | relax,hella exhausted | chill,"[(1, 3), (4, 5), (7, 8)]","[(1, 3), (4, 4), (6, 7)]",3
I'm just going out to grab some coffee with my friends.,"I'm just heading out to vibe with my friends over some coffee, no cap.",going | grab some coffee | friends.,"heading | vibe | friends over some coffee, no cap.","[(2, 3), (5, 8), (10, 11)]","[(2, 3), (5, 6), (8, 14)]",3
I'm just going to relax at home tonight and watch some movies.,"I'm just chillin' at home tonight, binge-watching some flicks.",going to relax | tonight and watch | movies.,"chillin' | tonight, binge-watching | flicks.","[(2, 5), (7, 10), (11, 12)]","[(2, 3), (5, 7), (8, 9)]",3
I'm really tired after working all day and just want to chill with some snacks.,"I'm totally wiped after grinding all day, just wanna kick back with some snacks.",really tired | working | day and | want to chill,"totally wiped | grinding | day, | wanna kick back","[(1, 3), (4, 5), (6, 8), (9, 12)]","[(1, 3), (4, 5), (6, 7), (8, 11)]",4
I'm just relaxing at home and watching some TV.,"I'm chillin' at my place, vibing with some shows.",just relaxing | home and watching | TV.,"chillin' | my place, vibing with | shows.","[(1, 3), (4, 7), (8, 9)]","[(1, 2), (3, 7), (8, 9)]",3
I'm really tired and just want to relax at home today.,"I'm super exhausted and just wanna chill at home today, fr.",really tired | want to relax | today.,"super exhausted | wanna chill | today, fr.","[(1, 3), (5, 8), (10, 11)]","[(1, 3), (5, 7), (9, 11)]",3
I'm just trying to get through the day without any problems.,I'm just tryna vibing through the day without any drama.,trying to get | problems.,tryna vibing | drama.,"[(2, 5), (10, 11)]","[(2, 4), (9, 10)]",2
I'm just going to relax and watch a movie tonight.,I'm just chillin' and gonna Netflix and chill tonight.,going to relax | watch a movie,chillin' | gonna Netflix and chill,"[(2, 5), (6, 9)]","[(2, 3), (4, 8)]",2
I'm just asking if you want to hang out later.,"Yo, you down to chill later or what?",I'm just asking if | want | hang out later.,"Yo, | down | chill later or what?","[(0, 4), (5, 6), (7, 10)]","[(0, 1), (2, 3), (4, 8)]",3
I'm just going to relax at home and watch some movies.,"I'm just chillin' at home and streaming some flicks, fr.",going to relax | watch | movies.,"chillin' | streaming | flicks, fr.","[(2, 5), (8, 9), (10, 11)]","[(2, 3), (6, 7), (8, 10)]",3
I'm just going to grab some coffee before class.,"I'm finna snag some coffee before lecture, fr.",just going to grab | class.,"finna snag | lecture, fr.","[(1, 5), (8, 9)]","[(1, 3), (6, 8)]",2
I'm just hanging out with my friends at the park today.,"Chillin' with my crew at the park today, no cap.",I'm just hanging out | friends | today.,"Chillin' | crew | today, no cap.","[(0, 4), (6, 7), (10, 11)]","[(0, 1), (3, 4), (7, 10)]",3
"Hey, are you free to hang out tomorrow?","Yo, you down to chill tomorrow?","Hey, are | free | hang out","Yo, | down | chill","[(0, 2), (3, 4), (5, 7)]","[(0, 1), (2, 3), (4, 5)]",3
I'm just going to relax at home and watch some TV tonight.,I'm finna chill at my place and binge some shows tonight.,just going to relax | home | watch | TV,finna chill | my place | binge | shows,"[(1, 5), (6, 7), (8, 9), (10, 11)]","[(1, 3), (4, 6), (7, 8), (9, 10)]",4
I'm just heading to the store to buy some snacks.,"Gonna slide to the store to grab some snacks, no cap.",I'm just heading | buy | snacks.,"Gonna slide | grab | snacks, no cap.","[(0, 3), (7, 8), (9, 10)]","[(0, 2), (6, 7), (8, 11)]",3
"Hey, do you want to hang out later?","Yo, you tryna chill later?","Hey, do | want to hang out","Yo, | tryna chill","[(0, 2), (3, 7)]","[(0, 1), (2, 4)]",2
"Hey, I just finished my homework and I'm ready to hang out.","Yo, just wrapped my homework and I'm all set to chill.","Hey, I | finished | ready | hang out.","Yo, | wrapped | all set | chill.","[(0, 2), (3, 4), (8, 9), (10, 12)]","[(0, 1), (2, 3), (7, 9), (10, 11)]",4
"Hey, did you see the new movie last night?","Yo, did you catch that fresh flick yesterday night?","Hey, | see the new movie last","Yo, | catch that fresh flick yesterday","[(0, 1), (3, 8)]","[(0, 1), (3, 8)]",2
I’m really tired after a long day at work.,I’m so drained after a long grind today.,really tired | day at work.,so drained | grind today.,"[(1, 3), (6, 9)]","[(1, 3), (6, 8)]",2
I'm just really tired after a long day at work.,I'm totally drained after a long day at the grind.,just really tired | work.,totally drained | the grind.,"[(1, 4), (9, 10)]","[(1, 3), (8, 10)]",2
I'm just honestly tired after a long day.,"I'm just vibing out tired after a whole day, no cap.",honestly | long day.,"vibing out | whole day, no cap.","[(2, 3), (6, 8)]","[(2, 4), (7, 11)]",2
I'm just going to hang out with my friends this weekend.,I'm just chillin' with my crew this weekend.,going to hang out | friends,chillin' | crew,"[(2, 6), (8, 9)]","[(2, 3), (5, 6)]",2
I'm just going to relax at home and watch some TV.,I'm just chillin' at home and vibing with some Netflix.,going to relax | watch | TV.,chillin' | vibing with | Netflix.,"[(2, 5), (8, 9), (10, 11)]","[(2, 3), (6, 8), (9, 10)]",3
"Hey, do you want to grab a coffee later?","Yo, wanna catch a coffee later?","Hey, do you want to grab","Yo, wanna catch","[(0, 6)]","[(0, 3)]",1
I'm really excited about hanging out with my friends tonight.,I'm so hyped to chill with my peeps tonight!,really excited about hanging out | friends tonight.,so hyped to chill | peeps tonight!,"[(1, 6), (8, 10)]","[(1, 5), (7, 9)]",2
I'm just going to hang out with my friends at the park today.,I'm just vibing with my squad at the park today.,going to hang out | friends,vibing | squad,"[(2, 6), (8, 9)]","[(2, 3), (5, 6)]",2
"Hey, do you want to go grab some coffee later?","Yo, ya tryna snag some coffee later?","Hey, do you want to go grab","Yo, ya tryna snag","[(0, 7)]","[(0, 4)]",1
I'm really tired after studying all night.,I'm hella drained 'cause I pulled an all-nighter.,really tired after studying all night.,hella drained 'cause I pulled an all-nighter.,"[(1, 7)]","[(1, 8)]",1
I'm going to grab some lunch with my friends later.,I'm chillin' with my crew for some grub later.,going to grab some lunch | friends,chillin' | crew for some grub,"[(1, 6), (8, 9)]","[(1, 2), (4, 8)]",2
"Hey, I just finished my homework and I'm feeling pretty good.","Yo, just crushed my homework and I'm vibing pretty hard.","Hey, I | finished | feeling | good.","Yo, | crushed | vibing | hard.","[(0, 2), (3, 4), (8, 9), (10, 11)]","[(0, 1), (2, 3), (7, 8), (9, 10)]",4
"Hey, do you want to hang out tomorrow?","Yo, you down to vibe tomorrow?","Hey, do | want | hang out","Yo, | down | vibe","[(0, 2), (3, 4), (5, 7)]","[(0, 1), (2, 3), (4, 5)]",3
"Hey, are you free to hang out today?","Yo, you free to chill today?","Hey, are | hang out","Yo, | chill","[(0, 2), (5, 7)]","[(0, 1), (4, 5)]",2
I'm just really tired and need to rest for a bit.,"I'm so drained, I gotta chill for a sec.",just really tired and need to rest | bit.,"so drained, I gotta chill | sec.","[(1, 8), (10, 11)]","[(1, 6), (8, 9)]",2
I'm just chilling at home and watching some videos.,"I'm just vibing at home, binge-watching some vids.",chilling | home and watching | videos.,"vibing | home, binge-watching | vids.","[(2, 3), (4, 7), (8, 9)]","[(2, 3), (4, 6), (7, 8)]",3
"Hey, do you want to go out for pizza tonight?","Yo, wanna hit up some pizza tonight?","Hey, do you want to go out for","Yo, wanna hit up some","[(0, 8)]","[(0, 5)]",1
I'm just relaxing at home and watching some movies.,"Chillin' at my crib, vibing with some flicks.",I'm just relaxing | home and watching | movies.,"Chillin' | my crib, vibing with | flicks.","[(0, 3), (4, 7), (8, 9)]","[(0, 1), (2, 6), (7, 8)]",3
I'm just going to relax at home and watch some videos.,"I'm just chillin' at home, binge-watching vids, no cap.",going to relax | home and watch some videos.,"chillin' | home, binge-watching vids, no cap.","[(2, 5), (6, 11)]","[(2, 3), (4, 9)]",2
"Hey, are you free to hang out this afternoon?","Yo, you down to chill today?","Hey, are | free | hang out this afternoon?","Yo, | down | chill today?","[(0, 2), (3, 4), (5, 9)]","[(0, 1), (2, 3), (4, 6)]",3
I'm really tired today and just want to relax.,"I'm so drained today, just tryna chill and vibe.",really tired today | just want to relax.,"so drained today, just tryna chill | vibe.","[(1, 4), (5, 9)]","[(1, 7), (8, 9)]",2
I'm feeling really tired today and just want to chill at home.,"I'm straight-up drained today, just tryna Netflix and veg at home, no cap.",feeling really tired today | just want to chill | home.,"straight-up drained today, just tryna Netflix | veg | home, no cap.","[(1, 5), (6, 10), (11, 12)]","[(1, 7), (8, 9), (10, 13)]",3
"I'm just sitting here, relaxing and listening to some music.","I'm just vibin' here, chillin’ with my tunes.",sitting | relaxing and listening to some music.,vibin' | chillin’ with my tunes.,"[(2, 3), (4, 10)]","[(2, 3), (4, 8)]",2
I'm grabbing a coffee with my friends this afternoon.,"I'm chugging a latte with my squad later, no cap.",grabbing | coffee | friends this afternoon.,"chugging | latte | squad later, no cap.","[(1, 2), (3, 4), (6, 9)]","[(1, 2), (3, 4), (6, 10)]",3
Let's hang out at the mall this afternoon.,"Yo, let's vibe at the mall later!",Let's hang out | this afternoon.,"Yo, let's vibe | later!","[(0, 3), (6, 8)]","[(0, 3), (6, 7)]",2
"Hey, do you want to hang out later to watch a movie?","Yo, wanna vibe later and catch a flick?","Hey, do you want to hang out | to watch | movie?","Yo, wanna vibe | and catch | flick?","[(0, 7), (8, 10), (11, 12)]","[(0, 3), (4, 6), (7, 8)]",3
I'm just feeling really tired today.,"I'm totally drained today, no cap.",just feeling really tired today.,"totally drained today, no cap.","[(1, 6)]","[(1, 6)]",1
"Hey, do you want to grab a quick coffee before the movie?","Yo, wanna grab a quick latte before the flick?","Hey, do you want to | coffee | movie?","Yo, wanna | latte | flick?","[(0, 5), (8, 9), (11, 12)]","[(0, 2), (5, 6), (8, 9)]",3
I'm just really tired today because I didn't sleep well.,I'm lowkey exhausted today 'cause I slept like trash.,just really tired | because | didn't sleep well.,lowkey exhausted | 'cause | slept like trash.,"[(1, 4), (5, 6), (7, 10)]","[(1, 3), (4, 5), (6, 9)]",3
Did you see the new movie that just came out?,"Yo, did you peep the new flick that just dropped?",Did | see | movie | came out?,"Yo, did | peep | flick | dropped?","[(0, 1), (2, 3), (5, 6), (8, 10)]","[(0, 2), (3, 4), (6, 7), (9, 10)]",4
"Hey, do you want to hang out after school?","Yo, wanna chill after class?","Hey, do you want to hang out | school?","Yo, wanna chill | class?","[(0, 7), (8, 9)]","[(0, 3), (4, 5)]",2
I'm really excited to go to the concert tonight.,I'm so hyped for the concert tonight!,really excited to go to | tonight.,so hyped for | tonight!,"[(1, 6), (8, 9)]","[(1, 4), (6, 7)]",2
I'm just going to chill at home and watch some movies tonight.,I'm just gon' vibe at my place and binge some flicks tonight.,going to chill | home | watch | movies,gon' vibe | my place | binge | flicks,"[(2, 5), (6, 7), (8, 9), (10, 11)]","[(2, 4), (5, 7), (8, 9), (10, 11)]",4
