term,gloss,gen_z,normal,construction,slang_in_sentence,literal_replacement,slang_position_start,slang_position_end,slang_positions,literal_positions
catch a body,to have murdered someone,This new track is so fire it's gonna catch a body.,This new track is so good it's going to devastate the competition.,catch a body,fire | gonna catch a body.,good | going to devastate the competition.,8,11,"[(5, 6), (7, 11)]","[(5, 6), (7, 12)]"
all hell broke loose,bad things started to happen,"When the principal walked in, all hell broke loose.","When the principal walked in, complete chaos ensued.",all hell broke loose,all hell broke loose.,complete chaos ensued.,5,9,"[(5, 9)]","[(5, 8)]"
build a bridge an get over it,"what you say to someone, when the simple 'get over it' just wont do","You lost one game two months ago, build a bridge and get over it.","You lost one game two months ago, just move on already.",build a bridge an get over it,build a bridge and get over it.,just move on already.,-1,-1,"[(7, 14)]","[(7, 11)]"
bep out,To lose consciousness due to being overly intoxicated,He bepped out on the couch before the ball even dropped.,He passed out on the couch before the ball even dropped.,bep out,bepped,passed,-1,-1,"[(1, 2)]","[(1, 2)]"
come correct,to have manners,You better come correct when you meet her dad.,You better be respectful when you meet her dad.,come correct,come correct,be respectful,2,4,"[(2, 4)]","[(2, 4)]"
turned on,"sexually excited, sexually aroused, sexually stimulated",That scene in the movie really turned me on ngl.,That scene in the movie really aroused me honestly.,turned on,turned | on ngl.,aroused | honestly.,-1,-1,"[(6, 7), (8, 10)]","[(6, 7), (8, 9)]"
get me bodied,"Like killin it on the dance floor, getting a guy in the club and killin him (dancing better than him)","Put on Beyoncé, that song gets me bodied every time.","Put on Beyoncé, that song makes me want to dance hard every time.",get me bodied,gets | bodied,makes | want to dance hard,-1,-1,"[(5, 6), (7, 8)]","[(5, 6), (7, 11)]"
caught up,Becoming so involved with a person that you become oblivious to the reality of the situation,She got caught up with some toxic guy and stopped talking to all her friends.,She got too involved with some toxic guy and stopped talking to all her friends.,caught up,caught up,too involved,2,4,"[(2, 4)]","[(2, 4)]"
back out,to decide not to do something that you had promised to do,"Don't you dare back out now, we already paid for the tickets.","Don't you dare cancel now, we already paid for the tickets.",back out,back out,cancel,3,5,"[(3, 5)]","[(3, 4)]"
drop nuts,To get scared and not do sumthing,We were gonna ask for her number but Marcus dropped nuts.,We were going to ask for her number but Marcus chickened out.,drop nuts,gonna | dropped nuts.,going to | chickened out.,-1,-1,"[(2, 3), (9, 11)]","[(2, 4), (10, 12)]"
50 deep,rolling with a large crew somewhere or having an abundance of something,"We pulled up to the party 50 deep, took over the whole spot.","We showed up to the party with a huge group, took over the whole place.",50 deep,"pulled | 50 deep, | spot.","showed | with a huge group, | place.",6,8,"[(1, 2), (6, 8), (12, 13)]","[(1, 2), (6, 10), (14, 15)]"
da fuck,either why the fuck or what the fuck,Da fuck is he wearing to the interview?,What the hell is he wearing to the interview?,da fuck,Da fuck,What the hell,0,2,"[(0, 2)]","[(0, 3)]"
cold kickin' it,"sitting back, relaxing","We're just cold kickin' it at my place, come through.","We're just relaxing at my place, come over.",cold kickin' it,cold kickin' it | through.,relaxing | over.,2,5,"[(2, 5), (9, 10)]","[(2, 3), (7, 8)]"
crack-a-lakin,like what's up or what going on,Yo what's crack-a-lakin tonight?,Hey what's going on tonight?,crack-a-lakin,Yo | crack-a-lakin,Hey | going on,2,3,"[(0, 1), (2, 3)]","[(0, 1), (2, 4)]"
yah'm sayin?,You know what I'm sayin?,"This party's about to be lit, yah'm sayin?","This party's going to be great, you know what I mean?",yah'm sayin?,"about | lit, yah'm sayin?","going | great, you know what I mean?",6,8,"[(2, 3), (5, 8)]","[(2, 3), (5, 11)]"
are you winning?,An old-fashioned phrase meaning 'how are you?' or How's it going?,"Hey mate, are you winning?","Hey, how's it going?",are you winning?,"Hey mate, are you winning?","Hey, how's it going?",2,5,"[(0, 5)]","[(0, 4)]"
damn skippy,means absolutly right with explanation,You think I'm going to miss the game? Damn skippy I'll be there.,"You think I'm going to miss the game? Absolutely, I'll be there.",damn skippy,Damn skippy,"Absolutely,",8,10,"[(8, 10)]","[(8, 9)]"
how does his dick taste?,The question you ask someone when they are [dick eating],You're defending him again? How does his dick taste?,You're defending him again? Why are you such a sycophant?,how does his dick taste?,How does his dick taste?,Why are you such a sycophant?,4,9,"[(4, 9)]","[(4, 10)]"
how you chip?,A phrase meaning: How do you fuck?,So how you chip? You got game or nah?,So how do you approach hooking up? Are you smooth or not?,how you chip?,chip? You got game | nah?,do | approach hooking up? Are you smooth | not?,1,4,"[(2, 2), (3, 7), (8, 9)]","[(2, 3), (4, 10), (11, 12)]"
