normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"By contrast , the lemmings are strikingly colored and behave aggressively towards predators and even human observers .","Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .",By | the lemmings | strikingly,"Lemmings , by | conspicuously","[(0, 1), (3, 5), (6, 7)]","[(0, 3), (6, 7)]",2
The 2007 -- 08 Kansas State Wildcats men 's basketball team represented Kansas State University in the 2007 -- 08 college basketball season .,The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .,men | basketball team represented | in | college basketball season,Men | Basketball Team represents | at | College - Basketball - Season,"[(7, 8), (9, 12), (15, 16), (20, 23)]","[(7, 8), (9, 12), (15, 16), (20, 25)]",4
"This was the last AFL Championship to complete the season , the first Super Bowl followed in the 1966 season .",This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .,"complete | , | in",end | ;,"[(7, 8), (10, 11), (16, 17)]","[(7, 8), (10, 11)]",2
After his discharge he moved from Germany to New Mexico and then to Los Angeles then to San Francisco .,"After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .",discharge,"dismissal , | ,","[(2, 3)]","[(2, 4), (16, 17)]",2
"The bones of Zrinski and Frankopan were found in 1907 in Austria and brought to Zagreb in 1919 , where they were rebuilt in the Zagreb Cathedral .","The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .",1907 in | rebuilt,in 1907 | reburied,"[(9, 11), (22, 23)]","[(10, 12), (22, 23)]",2
"Below is the early version of the album with all the original segues . Also , `` The Sacrifice of Victor '' is slightly longer on the early configuration .",Below is the early version of the album with all the original segues and `` The Sacrifice of Victor '' is slightly longer in the early configuration .,". Also , | on",and | in,"[(13, 16), (25, 26)]","[(13, 14), (23, 24)]",2
There were also several animatronic characters created ... a giant goose ( Galaga ) and an animatronic head for the doll 's cernos .,Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .,There were also several | doll 's cernos,Several | were also | puppeteered Cernos,"[(0, 4), (20, 23)]","[(0, 1), (3, 5), (19, 21)]",3
The complex of World Trade Center Trabzon is situated close to Trabzon Airport .,The complex of the Trabzon World Trade Center is close to Trabzon Airport .,Trabzon | situated,the Trabzon,"[(6, 7), (8, 9)]","[(3, 5)]",1
"Laetitia Pujol was a shady presence as Le Homme , Karl Paquette was his strong , melancholy double , and Mathieu Ganio portrayed La Femme .","Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .","shady | , | ,",shadowy | ; | ;,"[(4, 5), (9, 10), (18, 19)]","[(4, 5), (9, 10), (18, 19)]",3
Nick Smith ( Chris Egan ) settles in Summer Bay with his family and he and Duncan quickly become friends and get into various scrapes .,"Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .",Nick Smith ( | in Summer Bay | scrapes,"( Nick Smith | down | in Summer Bay , | crises","[(0, 3), (7, 10), (24, 25)]","[(2, 5), (7, 8), (11, 15), (26, 27)]",4
"He formerly played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Chesterfield , Northampton Town , Lincoln City and Gateshead .","He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .",formerly | Chesterfield | Lincoln City,has previously | Lincoln City | Chesterfield,"[(1, 2), (13, 14), (18, 20)]","[(1, 3), (14, 16), (20, 21)]",3
"Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed false works .","Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .",false,forged | to Lewis,"[(25, 26)]","[(25, 26), (27, 29)]",2
"In 1858 he graduated from the Galatasaray School in Schumen and became a teacher in Istanbul , where he remained until 1864 .","He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .",In 1858 he | Schumen,He | High | Shumen in 1858,"[(0, 3), (9, 10)]","[(0, 1), (5, 6), (8, 11)]",3
"Earlier in 209 , Sun Quan married Sun Quan 's younger sister Lady Sun to strengthen the alliance between him and Liu Bei .","Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .",married | 's,"married | ’ s | , | ,","[(6, 7), (9, 10)]","[(7, 8), (9, 11), (13, 14), (16, 17)]",4
"The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders fleeing from Vichy , France , Belgium , and Germany in 1945 .","The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .","fleeing from Vichy , France | Germany",who fled Germany | Vichy - France,"[(20, 25), (29, 30)]","[(20, 23), (27, 30)]",2
"Throughout her relationship , the couple lived in Los Angeles , though Seymour spent more time in London and Los Angeles for their work .","During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .","Throughout her | , | couple | their",During their | pair | her,"[(0, 2), (3, 4), (5, 6), (22, 23)]","[(0, 2), (4, 5), (21, 22)]",3
The North Downs Way crosses the Medway viaduct at the eastern end of Medway Valley Walk or the Autobahn bridge .,The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .,viaduct | the Autobahn,Viaduct | the | motorway,"[(7, 8), (17, 19)]","[(7, 8), (13, 14), (18, 19)]",3
He also gained popularity by replacing Archie Kao with Adam Rodriguez .,He gained popularity also by replacing Archie Kao and Adam Rodriguez .,also | with,also | and,"[(1, 2), (8, 9)]","[(3, 4), (8, 9)]",2
"According to the United States Census Bureau , the town has a total area of , of which is land and , or 1.35 % , is water .","According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .","town has | , of | is",city is | surface | has,"[(9, 11), (15, 17), (18, 19)]","[(9, 11), (13, 14), (17, 18)]",3
"It is located north of New Square and New Hempstead , east of Viola , south of Spring Valley , and west of New City .","It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .",",",to the,"[(19, 20)]","[(3, 5)]",1
"Pelmus has been exhibited in museums of Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .","Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .",of,in,"[(6, 7)]","[(6, 7)]",1
"Owen believed that his utopian community would create a `` social environment , based on his ideals of superior social , intellectual , and physical reform .","Owen believed his utopian community would create a `` social environment '' based on his ideals of superior social , intellectual and physical reform .","that | , | ,",'',"[(2, 3), (12, 13), (22, 23)]","[(11, 12)]",1
"The school is in conjunction with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .","The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .",in conjunction,connected,"[(3, 5)]","[(3, 4)]",1
"SR 164 was commissioned in 1923 , routed from Youngstown to Salineville .",The SR 164 was commissioned from Youngstown to Salineville in 1923 .,"in 1923 , routed",The | in 1923,"[(4, 8)]","[(0, 1), (9, 11)]",2
"On 10 November 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the ATP World Tour final website .","On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .",10 | final website,"10 , | final website of the","[(1, 2), (21, 23)]","[(2, 4), (19, 23)]",2
"Chicago Public School is a DeWitt Clinton School on the northern side of Chicago , Illinois .","Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .",northern,north,"[(10, 11)]","[(10, 11)]",1
"The company then was the St. Louis and Cairo Railroad , which acquired narrow gauge .","The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .",then | which acquired,then acquired | the,"[(2, 3), (11, 13)]","[(3, 5), (12, 13)]",2
"His parents are Don Luis Toranzos , a prominent artist himself , and Angelina Miers , of Argentina .","His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .","himself | , of",himself | from,"[(10, 11), (15, 17)]","[(7, 8), (15, 16)]",2
Most of the series produced by CBS before 1976 or distributed by CBS films were later distributed by Viacom and Paramount Television .,Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .,of the | before 1976 | films,pre- 1976 | Films,"[(1, 3), (7, 9), (13, 14)]","[(1, 3), (11, 12)]",2
"There were also 58 connecting aircraft , but 20 of these were used for messengers only .",There were also 58 liaison aircraft but 20 of these were only used for messengers .,"connecting | , | only",liaison | only,"[(4, 5), (6, 7), (15, 16)]","[(4, 5), (11, 12)]",2
"It is located in Tattapani ( Himachal Pradesh ) , at an altitude of 650mts , the perfect temperature for the treatments .","It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .",is | Tattapani ( | an | the,( Tattapani | the | healing,"[(1, 2), (4, 6), (11, 12), (16, 17)]","[(5, 7), (10, 11), (19, 20)]",3
Amish Mennonites from Galicia with Swiss descent settled in 1815 near Dubno .,Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .,from Galicia with | in 1815,of | from Galicia | in 1815,"[(2, 5), (8, 10)]","[(2, 3), (5, 7), (10, 12)]",3
It has a high school ( `` Cornway Junior College '' ) and a preparatory school ( `` Cornway Senior College '' ) .,It has a high school ( `` Cornway Junior College '' ) and a nursery school ( `` Cornway Senior College '' ) .,preparatory,nursery,"[(14, 15)]","[(14, 15)]",1
Bailey was succeeded as caretaker of Breakheart Hill by Henry Cole .,Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .,succeeded | by Henry Cole,replaced by Henry Cole,"[(2, 3), (8, 11)]","[(2, 6)]",1
"This is a list of caves in the United Kingdom , including information on the largest and deepest caves in the UK .","This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .",on,about,"[(13, 14)]","[(13, 14)]",1
"Souray married former WWE professional wrestler Barbara Blank , better known as Kelly Kelly in February 2016 . They have separated in October 2017 .","In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .",in February 2016 . They have,"In February 2016 , | the | - | - | , who","[(14, 20)]","[(0, 4), (6, 7), (9, 10), (11, 12), (21, 23)]",5
"The light novels are written by Dojyomaru and illustrated by Fuyuyuki , and are published by Overlap Bunko .",The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .,", | are",are,"[(11, 12), (13, 14)]","[(8, 9)]",1
The Oraciu River or Orociu River is a tributary of the Pustnic River in Romania .,The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .,River | River | Pustnic,river | Pustnic,"[(2, 3), (5, 6), (11, 12)]","[(1, 2), (11, 12)]",2
"Of the twelve stories included , six were previously published in the author 's first collection , `` The Evening News '' .","Of the twelve stories that are included , six were previously published in the author 's first collection , `` evening news '' .",The Evening News,that are | evening news,"[(18, 21)]","[(4, 6), (20, 22)]",2
He moved to Quebec around 1685 and lived in New France for some time .,He moved to Quebec in 1685 and lived for some time in New - France .,around | in New France,in | in New - France,"[(4, 5), (8, 11)]","[(4, 5), (11, 15)]",2
The Dramatic and Public Arts Department was originally headed by T. Earl Pardoe .,The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .,Dramatic | Public Arts Department,department of dramatic speaking | public arts,"[(1, 2), (3, 6)]","[(1, 5), (6, 8)]",2
"Sussex and Lancing Colleges , which played a football match in November 1860 , are recorded as the first of public schools in Brighton .","Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .",", which | are recorded as | of",are recorded as having | by,"[(4, 6), (14, 17), (19, 20)]","[(4, 8), (18, 19)]",2
`` Bonne Citoyenne '' had the misfortune to be damaged in a storm and separated from the rest of the French squadron .,`` Bonne Citoyenne '' had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .,be,become | to be,"[(8, 9)]","[(8, 9), (14, 16)]",2
He spent several years in New York City as a computer consultant and software engineer and moved to Atlanta in 1998 .,"He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .",and,"more | , then","[(15, 16)]","[(3, 4), (16, 18)]",2
"Kevin Lepage started third , Terry Labonte fourth , and Robby Gordon qualified fifth .","Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .",",",as | as,"[(8, 9)]","[(7, 8), (13, 14)]",2
"In December 2006 , Muspratt was named `` Chicagoan of the Year '' in classical music by John von Rhein and the staff of the `` Chicago Tribune '' .","In December 2006 , Muspratt was named `` Chicagoan of the Year by John von Rhein and the staff of the '' Chicago Tribune `` in the Classic .",'' in classical music | `` | '','' | `` in the Classic,"[(12, 16), (25, 26), (28, 29)]","[(21, 22), (24, 28)]",2
He won the first Prix de Rome for painting in 1813 and in 1814 the second Prix de Rome for his paintings of the `` death of the Diagoras '' .,He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the `` Death of Diagoras '' .,in 1814 | paintings | death | the,in 1814 | painting | Death,"[(12, 14), (21, 22), (25, 26), (27, 28)]","[(17, 19), (21, 22), (25, 26)]",3
"Contempo Magazine is a monthly American print and online magazine in McAllen , Texas .","Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .",American,daily | American | published,"[(5, 6)]","[(7, 8), (9, 10), (11, 12)]",3
The isodynamic conjugates of the Fermat points are the isogonal points and vice versa .,The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .,the,-,"[(4, 5)]","[(5, 6)]",1
"The codice 2 branch is updated daily , and the branch codice 3 is updated every 6 months .","The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .",branch | and,branch,"[(3, 4), (8, 9)]","[(1, 2)]",1
"The house was purchased by Sir David Dundas of Dunira in 1858 , who sold it on to George Dewhurst of Lymm , Cheshire , in 1864 .","The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .","in 1858 | on | of | ,",in 1858 | from,"[(10, 12), (16, 17), (20, 21), (24, 25)]","[(4, 6), (19, 20)]",2
Togdheer ( Somali `` Wabi Togdheer '' ) is a seasonal river in the Togdheer River region of eastern Somaliland .,Togdheer ( Somali `` Wabi Togdheer '' ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .,of,in the | part of,"[(17, 18)]","[(17, 19), (20, 22)]",2
"On 9 June 2017 , Barkchi Mubin Ergashev appointed her manager after Vitaliy Levchenko joined the Krylia Sovetov coaching staff .","On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .",appointed her | Krylia Sovetov,appointed | as their | of Krylia Sovetov,"[(8, 10), (16, 18)]","[(6, 7), (9, 11), (19, 22)]",3
Butcher returned the following year and was eliminated in round two by Ian Rotten .,"In the following year , Butcher returned and was eliminated in round by Ian Rotten .",Butcher returned | two,"In | , Butcher returned","[(0, 2), (10, 11)]","[(0, 1), (4, 7)]",2
St John married Elizabeth Crowley ( the daughter of Ambrose Crowley ) of Greenwich on 6 March 1725 . Their children included :,"St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :",the | 6 | included,"6 , | were","[(6, 7), (15, 16), (21, 22)]","[(15, 17), (21, 22)]",2
Vaman Malhar Joshi should not be confused with the writer Waman Gopal Joshi . They were contemporaries .,"Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .",Vaman | writer | . They,"author | , they","[(0, 1), (9, 10), (13, 15)]","[(8, 9), (12, 14)]",2
"The film was shot in California ( Red Rock Canyon State Park ) in Cantil , California .","The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .",shot | California (,filmed | ( California,"[(3, 4), (5, 7)]","[(3, 4), (10, 12)]",2
"The tweenies consist of Bella , Milo , Fizz , Jake , Scribbles , Izzles , Max , Judy and are sometimes joined by Max 'apos ; Sister Polly .","The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .",tweenies | Scribbles | 'apos ; Sister,"Tweenies | Doodles | , | 's sister","[(1, 2), (12, 13), (25, 28)]","[(1, 2), (12, 13), (19, 20), (26, 28)]",4
"Hector Crawford was brother of 3DB manager and administrator Curteis Crawford , and also brother of Dorothy Crawford .","Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .",of,the | to,"[(15, 16)]","[(3, 4), (16, 17)]",2
Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American - American - football receiver .,Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .,- American -,wide,"[(13, 16)]","[(14, 15)]",1
