term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
fomo,fear of missing out,I only went because of fomo.,I only went because of my fear of missing out.,fomo,my fear of missing out.,5,"[(5, 6)]","[(5, 10)]"
Ffs,for fuck sake,"""FFS, read the instructions,"" she sighed.","""For fuck's sake, read the instructions,"" she sighed.",Ffs,"""For fuck's sake,",1,"[(0, 1)]","[(0, 3)]"
fungry,fuckin hungry,Don't talk to me when I'm fungry.,Don't talk to me when I'm fucking hungry.,fungry,fucking hungry.,6,"[(6, 7)]","[(6, 8)]"
cannilingus,"the use of the tongue to find the opening in the top of a beverage can, when it's too dark to see",I had to use cannilingus to find my drink in the dark theater.,I had to use my tongue to find the can opening in the dark theater.,cannilingus,my tongue | the can opening,4,"[(4, 5), (7, 9)]","[(4, 6), (8, 11)]"
carcolepsy,"a condition affecting buddies on a trip who fall asleep as soon as the car starts moving, providing no company or driving help",His carcolepsy makes him useless on road trips.,His tendency to fall asleep in moving cars makes him useless on road trips.,carcolepsy,tendency to fall asleep in moving cars,1,"[(1, 2)]","[(1, 8)]"
brainspin,the inability to sleep because of your mind fixating on a thought,I couldn't sleep because of brainspin about the interview.,I couldn't sleep because my mind kept racing about the interview.,brainspin,my mind kept racing,5,"[(4, 6)]","[(4, 8)]"
caraoke,"singing along with music in a car, especially loudly and passionately",We had an epic caraoke session on the highway.,We sang loudly along to the radio on the highway.,caraoke,sang loudly along to the radio,4,"[(1, 6)]","[(1, 7)]"
condomplate,to contemplate the use of a condom,He paused to condomplate before proceeding.,He paused to consider using protection before proceeding.,condomplate,consider using protection,3,"[(3, 4)]","[(3, 6)]"
chairdrobe,the art of piling clothes on a chair to be used in place of a closet or dresser,My chairdrobe is getting out of control.,My pile of clothes on the chair is getting out of control.,chairdrobe,pile of clothes on the chair,1,"[(1, 2)]","[(1, 7)]"
bropocalypse,"a large gathering of bros on a mission to do one thing, to get bombed, tanked, or wasted usually ending in some people doing something stupid",The bar turned into a bropocalypse after the game.,The bar was overrun by rowdy male friends after the game.,bropocalypse,was overrun by rowdy male friends,5,"[(2, 6)]","[(2, 8)]"
christmahanukwanzakah,a holiday celebrating multicultural beliefs and traditions,Happy Christmahanukwanzakah to everyone!,"Happy combined Christmas, Hanukkah, and Kwanzaa to everyone!",christmahanukwanzakah,"combined Christmas, Hanukkah, and Kwanzaa",1,"[(1, 2)]","[(1, 6)]"
genderfriend,"a gender-free way to address a boyfriend or girlfriend so as not to offend people who are gay, although it is somewhat [tongue-in-cheek]","This is my genderfriend, Alex.","This is my partner of unspecified gender, Alex.",genderfriend,"partner of unspecified gender,",3,"[(3, 4)]","[(3, 7)]"
monopenis,(adj): the condition of only liking one penis,She only dates men—total monopenis.,She only dates men—exclusively attracted to one gender.,monopenis,men—exclusively attracted to one gender.,4,"[(3, 5)]","[(3, 8)]"
eyeolating,when you're [checking out] a girl (or guy) so vigorously that you violate them,Stop eyeolating that stranger across the bar.,Stop eye-flirting with that stranger across the bar.,eyeolating,eye-flirting with,1,"[(1, 2)]","[(1, 3)]"
fauxbola,"the moment that someone has a small cough or sniffle, that they believe they have ebola and have to announce it to the world",Don't believe the hype—it's just fauxbola.,Don't believe the hype—it's just fake Ebola panic.,fauxbola,fake Ebola panic.,5,"[(5, 6)]","[(5, 8)]"
gaynorant,"gay+ignorant - is some one who doesn't know any thing about gay men and stereotypes all gay guys into two classes: flaming queens, or overweight bears",His comments were so gaynorant.,His comments were so ignorant about gay people.,gaynorant,ignorant about gay people.,4,"[(4, 5)]","[(4, 8)]"
engayed,the term for gay couples to become engaged or plan on becoming married,They just got engayed last weekend!,They just got engaged to their same-sex partner last weekend!,engayed,engaged to their same-sex partner,3,"[(3, 4)]","[(3, 8)]"
burgerista,a person who works at a fast-food burger restaurant,The burgerista at that new place is amazing.,The gourmet burger chef at that new place is amazing.,burgerista,gourmet burger chef,1,"[(1, 2)]","[(1, 4)]"
brickberry,"a term for the old, outdated phone you have to use when your current phone breaks",My phone turned into a brickberry after the update.,My BlackBerry became useless after the update.,brickberry,BlackBerry became useless,5,"[(1, 6)]","[(1, 4)]"
earlingus,a sexual act involving sticking one's tongue down someones ear,He surprised her with some earlingus.,He surprised her by licking her ear sensually.,earlingus,by licking her ear sensually.,5,"[(3, 6)]","[(3, 8)]"
interwhine,when two or more people gather to [complain] or [bitch] about their problems,Stop interwhining about your ex already.,Stop complaining about your ex online already.,interwhine,complaining | online,-1,"[(1, 2), (5, 5)]","[(1, 2), (5, 6)]"
chrontact,the person from whom you [score] [weed],I need to find a new chrontact in this city.,I need to find a new marijuana dealer in this city.,chrontact,marijuana dealer,6,"[(6, 7)]","[(6, 8)]"
burritoing,"burritoing (verb) - the act of wrapping yourself in multiple blankets, nearing, but not reaching, the point of suffocation",I spent Sunday burritoing on the couch.,I spent Sunday wrapped in blankets on the couch.,burritoing,wrapped in blankets,3,"[(3, 4)]","[(3, 6)]"
aarping,"when an elderly person, such as your grandfather, complains incessantly about nothing",My parents have started aarping—so many early bird dinners.,My parents have started acting like senior citizens—so many early bird dinners.,aarping,acting like senior citizens—so,4,"[(4, 5)]","[(4, 8)]"
chickenatarian,"a person who eats no other types of meat, but chicken",I'm basically a chickenatarian—only poultry for me.,I'm basically a vegetarian who only eats chicken.,chickenatarian,vegetarian who only eats chicken.,3,"[(3, 7)]","[(3, 8)]"
blackburied,being inundated and exhausted trying to be on top of all your email [24/7] with your [handheld mobile device],I got blackburied during the meeting—couldn't look up.,I was absorbed in my BlackBerry during the meeting—couldn't look up.,blackburied,was absorbed in my BlackBerry,2,"[(1, 3)]","[(1, 6)]"
crackstituents,people who smoke crack with their favourite politician,The mayor lost support from his crackstituents.,The mayor lost support from his constituents who use crack.,crackstituents,constituents who use crack.,6,"[(6, 7)]","[(6, 10)]"
transpants,pants designed for the female figure that add the illusion of an engorged penis upon sitting down,These yoga pants are basically transpants.,These yoga pants are basically see-through.,transpants,see-through.,5,"[(5, 6)]","[(5, 6)]"
edgehog,a passenger at the bus who hogs the aisle seat,Don't be such an edgehog at parties.,Don't hog all the edgy comments at parties.,edgehog,hog all the edgy comments,4,"[(1, 5)]","[(1, 6)]"
gloatgram,"an instagram post that features the user boasting about their life, usually in the form of food or leisure/travel",Her vacation gloatgrams are insufferable.,Her vacation photos meant to make others jealous are insufferable.,gloatgram,photos meant to make others jealous,2,"[(2, 3)]","[(2, 8)]"
ignoranus,someone who is both stupid and an asshole,My boss is a complete ignoranus.,My boss is an ignorant asshole.,ignoranus,an ignorant asshole.,5,"[(3, 6)]","[(3, 6)]"
guitarthritis,the medical condition causing pain in the wrists after playing guitar hero for an extended amount of time,I can't play anymore—got guitarthritis.,I can't play anymore—got pain in my fingers from playing guitar.,guitarthritis,pain in my fingers from playing guitar.,4,"[(4, 5)]","[(4, 11)]"
liptease,the act of putting on lipstick suggestively,That's false advertising—total liptease.,That's false advertising—she looked way different without makeup.,liptease,advertising—she looked way different without makeup.,3,"[(2, 4)]","[(2, 8)]"
leftfielding,adj:/ the act of contributing a comment amongst a group of friends that is completely irrelevant to the current subject matter currently discussed,He's always leftfielding in conversations.,"He's always making unexpected, off-topic remarks in conversations.",leftfielding,"making unexpected, off-topic remarks",2,"[(2, 3)]","[(2, 6)]"
briele,"the most lovely, beautiful, adorable, and simply amazing girl in the world",She acted all briele about her promotion.,She acted snobby and arrogant about her promotion.,briele,snobby and arrogant,3,"[(2, 4)]","[(2, 5)]"
blogosfear,fear of being talked about or becoming a character in someone's blog,The blogosfear erupted over the scandal.,The blogosphere erupted fearfully over the scandal.,blogosfear,blogosphere | fearfully,1,"[(1, 2), (3, 3)]","[(1, 2), (3, 4)]"
munging,1) go to a graveyard with four of your buddies 2) dig up fresh corpse (female) and have a [gang bang],I don't even want to know what munging involves.,I don't even want to know what that disgusting act involves.,munging,that disgusting act,7,"[(7, 8)]","[(7, 10)]"
frisbeetarianism,"(noun) the belief that, after death, the soul flies up onto the roof and gets stuck there",He jokingly practices frisbeetarianism.,He jokingly believes souls get stuck on roofs like frisbees.,frisbeetarianism,believes souls get stuck on roofs like frisbees.,3,"[(2, 4)]","[(2, 10)]"
telephobia,when someone has the fear of talking on the phone,My telephobia makes job hunting difficult.,My fear of talking on the phone makes job hunting difficult.,telephobia,fear of talking on the phone,1,"[(1, 2)]","[(1, 7)]"
decafate,"the act of purging after drinking coffee, anally or otherwise",I had to decafate after that espresso.,I had to purge after drinking too much coffee.,decafate,purge | drinking too much coffee.,3,"[(3, 4), (5, 7)]","[(3, 4), (5, 9)]"
familiated,to be humiliated in front of ones family,We got familiated at Thanksgiving.,We got exhausted by family drama at Thanksgiving.,familiated,exhausted by family drama,2,"[(2, 3)]","[(2, 6)]"
bumbaclot,a cloth or rag used to wipe ones anal region,He called me a bumbaclot and stormed off.,He called me a Jamaican curse word and stormed off.,bumbaclot,Jamaican curse word,4,"[(4, 5)]","[(4, 7)]"
congratsturbating,"creating a problem that affects millions of people, then praising oneself for fixing the small part of the problem that affects you and then masturbating",His LinkedIn post was pure congratsturbating.,His LinkedIn post was pure self-congratulation.,congratsturbating,self-congratulation.,5,"[(5, 6)]","[(5, 6)]"
dankrupt,to be out of marijuana,I'm totally dankrupt until payday.,I'm totally out of marijuana until payday.,dankrupt,out of marijuana,2,"[(2, 3)]","[(2, 5)]"
farticles,the particles of air contaminated after someone or something lets out gas,These farticles in the car are unbearable.,These lingering fart particles in the car are unbearable.,farticles,lingering fart particles,1,"[(1, 2)]","[(1, 4)]"
lqtm,laughing quietly to myself,That meme was funny—LQTM.,That meme was funny—laughing quietly to myself.,lqtm,funny—laughing quietly to myself.,4,"[(3, 4)]","[(3, 7)]"
gynotician,a politician who frequently attempts to pass laws relating to women's health,Another gynotician making healthcare decisions.,Another male politician making women's health decisions.,gynotician,male politician | women's health,1,"[(1, 2), (3, 4)]","[(1, 3), (4, 6)]"
delazify,prying one's fat ass off the couch to get shit done,I need to delazify before the guests arrive.,I need to stop being lazy before the guests arrive.,delazify,stop being lazy,3,"[(3, 4)]","[(3, 6)]"
hobnocker,a person who slaps people with his penis,Stop being such a hobnocker.,Stop being such a gross person.,hobnocker,gross person.,4,"[(4, 5)]","[(4, 6)]"
longversation,"the quality of a conversation that is both long and rambling, without a fixed purpose and lacking in concision",I got trapped in a longversation with my neighbor.,I got trapped in a very long conversation with my neighbor.,longversation,very long conversation,5,"[(5, 6)]","[(5, 8)]"
Slay,to do something well.,You absolutely slayed that presentation!,You absolutely dominated that presentation!,Slay,dominated,2,"[(2, 3)]","[(2, 3)]"
clemsoning,"the act of delivering an inexplicably disappointing performance, usually within the context of a college football season",The team was clemsoning in the fourth quarter.,The team choked despite being favored in the fourth quarter.,clemsoning,choked despite being favored,3,"[(2, 4)]","[(2, 6)]"
newfag,a newcomer to [4chan],The newfags are ruining this forum.,The new users are ruining this forum.,newfag,new users,1,"[(1, 2)]","[(1, 3)]"
resolutionist,a person who joins the gym in early january because of their new years resolution,The gym is packed with resolutionists in January.,The gym is packed with New Year's resolution people in January.,resolutionist,New Year's resolution people,5,"[(5, 6)]","[(5, 9)]"
cupcaking,flirting or being flirtatious,They've been cupcaking all night.,They've been flirting excessively all night.,cupcaking,flirting excessively,2,"[(2, 3)]","[(2, 4)]"
handegg,american football,Americans call handegg 'football' for some reason.,Americans call that ball-carrying sport 'football' for some reason.,handegg,that ball-carrying sport,2,"[(2, 3)]","[(2, 5)]"
blumkin,the term blumkin is when a man is sitting on the toilet taking a shit,I can't believe he mentioned a blumkin at dinner.,I can't believe he mentioned that vulgar act at dinner.,blumkin,that vulgar act,6,"[(5, 7)]","[(5, 8)]"
candlejack,"""candlejack is a character from the tv show ""freakazoid""",Don't say Candlejack or you'll—,Don't say that name or you'll—,candlejack,that name,2,"[(2, 3)]","[(2, 4)]"
mcgangbang,this is a tasty sandwich combination from mcdonald's,I'm hungry enough for a mcgangbang.,I'm hungry enough for a McChicken stuffed inside a McDouble.,mcgangbang,McChicken stuffed inside a McDouble.,5,"[(5, 6)]","[(5, 10)]"
cheet,the orange dust that coats your fingers and lips after eating [cheetos],The cheet was unbearable.,The the orange dust that coats your fingers and lips after eating [cheetos] was unbearable.,cheet,the orange dust that coats your fingers and lips after eating [cheetos],1,"[(1, 2)]","[(1, 13)]"
guidette,a female guido,She dressed like a total guidette.,She dressed like a stereotypical Italian-American party girl.,guidette,stereotypical Italian-American party girl.,5,"[(4, 6)]","[(4, 8)]"
appathy,"""the utter lack of interest that ensues shortly after downloading numerous, mind-numbingly worthless apps for an iphone or similar ""smart phone"" device",I've developed serious appathy for new downloads.,I've developed serious apathy toward downloading new apps.,appathy,apathy toward downloading | apps.,3,"[(3, 5), (6, 7)]","[(3, 6), (7, 8)]"
bobfoc,"body off baywatch, face off crimewatch",She's a total BOBFOC from behind.,She has a great body but an unattractive face.,bobfoc,She has | great body but an unattractive face.,3,"[(0, 1), (2, 6)]","[(0, 2), (3, 9)]"
wenis,the skin that covers the tip of your elbow,I bumped my wenis on the desk.,I bumped my elbow skin on the desk.,wenis,elbow skin,3,"[(3, 4)]","[(3, 5)]"
slore,"""the combining of a ""slut"" and ""whore""",Everyone called her a slore behind her back.,Everyone called her a slutty whore behind her back.,slore,slutty whore,4,"[(4, 5)]","[(4, 6)]"
billary,the political union of bill and hillary clinton,The Billary era of politics is over.,The Bill and Hillary Clinton era of politics is over.,billary,Bill and Hillary Clinton,1,"[(1, 2)]","[(1, 5)]"
boxxy,"a jittery camgirl whose constant eye movements, subject changing, and tonal variation gained her the adoration of youtube, gaia, and 4chan",She's trying too hard to be the next Boxxy.,She's trying too hard to be the next internet personality.,boxxy,internet personality.,8,"[(8, 9)]","[(8, 10)]"
homofascism,the persecution of people who won't accept the concept that the glbt lifestyle is normal,He ranted about homofascism online.,He ranted about imaginary gay oppression online.,homofascism,imaginary gay oppression,3,"[(3, 4)]","[(3, 6)]"
assbutt,an exclamation used to distract angels just before you throw a molotov at them,"""You assbutt!"" Dean shouted.","""You idiot!"" Dean shouted.",assbutt,"idiot!""",1,"[(1, 2)]","[(1, 2)]"
mfeo,an acronym that stands for made for each other,We're MFEO—known it since we met.,We're made for each other—known it since we met.,mfeo,made for each other—known,1,"[(1, 2)]","[(1, 5)]"
Dank,excellent or of very high quality,This meme is absolutely dank.,This meme is absolutely excellent.,Dank,excellent.,4,"[(4, 5)]","[(4, 5)]"
bustedtees,the only add urbandictionary,The bustedtees was unbearable.,The the only add urbandictionary was unbearable.,bustedtees,the only add urbandictionary,1,"[(1, 2)]","[(1, 5)]"
jeek,"""in geocaching, the global scavenger hunt game played with a gps, jeek is the name for the ""treasure"" you find",He's such a jeek about craft beer.,He's such a jerk geek about craft beer.,jeek,jerk geek,3,"[(3, 4)]","[(3, 5)]"
daty,"""dining at the ""y"" eating a female out",DATY is his favorite activity.,Performing oral sex on women is his favorite activity.,daty,Performing oral sex on women,0,"[(0, 1)]","[(0, 5)]"
cromulent,"used in an ironical sense to mean legitimate, and therefore, in reality, spurious and not at all legitimate",That's a perfectly cromulent explanation.,That's a perfectly acceptable explanation.,cromulent,acceptable,3,"[(3, 4)]","[(3, 4)]"
infoporn,information that serves no purpose and consumes valuable space in your head,That data visualization is pure infoporn.,That data visualization is visually stunning information.,infoporn,visually stunning information.,5,"[(4, 6)]","[(4, 7)]"
Sus,short for suspect/suspicious.,That excuse sounds pretty sus.,That excuse sounds pretty suspicious.,Sus,suspicious.,4,"[(4, 5)]","[(4, 5)]"
beeriod,heavy anal flow resulting from excessive alcohol consumption often accompanied with severe pains,He's on his beeriod—don't bother him.,He's in his monthly beer binge—don't bother him.,beeriod,in | monthly beer binge—don't,3,"[(1, 2), (3, 4)]","[(1, 2), (3, 6)]"
muffinman,a man who loves to go down on women,Nobody warned me about muffinman.,Nobody warned me about a man who loves to go down on women.,muffinman,a man who loves to go down on women.,4,"[(4, 5)]","[(4, 13)]"
feltching,when a man fucks you up the butt without a rubber,"Some things, like feltching, should remain unmentioned.",Some vulgar acts should remain unmentioned.,feltching,vulgar acts,3,"[(1, 4)]","[(1, 3)]"
brofarm,a word said randomly during awkward conversation,That fraternity is just a brofarm.,That fraternity just produces stereotypical frat bros.,brofarm,produces stereotypical frat bros.,5,"[(2, 3), (4, 6)]","[(2, 2), (3, 7)]"
gwap,a slang term used in harlem meaning money,He made serious gwap on that deal.,He made serious money on that deal.,gwap,money,3,"[(3, 4)]","[(3, 4)]"
glutard,"""one who does not possess the enzymes necessary to digest gluten, a main ingredient in wheat products",Don't be a glutard about the menu.,Don't be annoying about your gluten-free needs at the menu.,glutard,annoying | your gluten-free needs at,3,"[(2, 4), (5, 5)]","[(2, 3), (4, 8)]"
compunicate,"when you are in the same room with someone, each on seperate computers, and you talk via instant messenger instead of speaking to them out loud, in person",We should compunicate about the project details.,We should communicate via computer about the project details.,compunicate,communicate via computer,2,"[(2, 3)]","[(2, 5)]"
silf,sandwich i'd like to fuck,She joked that her grandmother was a SILF.,She joked that her grandmother was an attractive senior.,silf,an attractive senior.,7,"[(6, 8)]","[(6, 9)]"
poindextrous,to be able to communicate equally well with both nerds and normal people alike,She's impressively poindextrous with that code.,She's impressively nerdy-skilled with that code.,poindextrous,nerdy-skilled,2,"[(2, 3)]","[(2, 3)]"
elevision,"the act of people in an elevator staring up, uncomfortably, at the numbers as they light up when the car moves",I spent the ride watching elevision.,I spent the ride watching the TV in the elevator.,elevision,the TV in the elevator.,5,"[(5, 6)]","[(5, 10)]"
lolocaust,funny on a scale that kills 6 million people,That comedy show was a complete lolocaust.,That comedy show was devastatingly funny.,lolocaust,devastatingly funny.,6,"[(4, 7)]","[(4, 6)]"
bipodding,"the act of sharing an ipod's headphones so that two people can listen at the same time, each using one headphone",I spent all day bipodding.,"I spent all day sharing an ipod's headphones so that two people can listen at the same time, each using one headphone.",bipodding,"sharing an ipod's headphones so that two people can listen at the same time, each using one headphone.",4,"[(4, 5)]","[(4, 22)]"
chogey,an extremely loud fart,Who ripped that chogey in the elevator?,Who ripped that extremely loud fart in the elevator?,chogey,extremely loud fart,3,"[(3, 4)]","[(3, 6)]"
accountabilabuddy,"a friend, maybe a best friend, who you get into trouble with and who is somewhat responsible for your actions",Nobody warned me about accountabilabuddy.,"Nobody warned me about a friend, maybe a best friend, who you get into trouble with and who is somewhat responsible for your actions.",accountabilabuddy,"a friend, maybe a best friend, who you get into trouble with and who is somewhat responsible for your actions.",4,"[(4, 5)]","[(4, 24)]"
anuscript,the script of a pornographic movie,I can't handle this anuscript anymore.,I can't handle this situation of the script of a pornographic movie anymore.,anuscript,situation of the script of a pornographic movie,4,"[(4, 5)]","[(4, 12)]"
ineptocracy,a system of government by the incompetent,Have you dealt with ineptocracy before?,Have you dealt with a system of government by the incompetent before?,ineptocracy,a system of government by the incompetent,4,"[(4, 5)]","[(4, 11)]"
boceta,"a brazilian portuguese slang for vulva, pussy",This is textbook boceta.,"This is a textbook case of a brazilian portuguese slang for vulva, pussy.",boceta,"a | case of a brazilian portuguese slang for vulva, pussy.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 13)]"
weenus,the skin on ur elbow,We've reached peak weenus.,We've reached peak the skin on ur elbow.,weenus,the skin on ur elbow.,3,"[(3, 4)]","[(3, 8)]"
adamgasm,the peak of one's sexual excitation caused by anything that involves adam lambert and his ultra sexiness,The adamgasm was unbearable.,The the peak of one's sexual excitation caused by anything that involves adam lambert and his ultra sexiness was unbearable.,adamgasm,the peak of one's sexual excitation caused by anything that involves adam lambert and his ultra sexiness,1,"[(1, 2)]","[(1, 18)]"
harph,wolfing down a sandwitch hella fast,Nobody warned me about harph.,Nobody warned me about wolfing down a sandwitch hella fast.,harph,wolfing down a sandwitch hella fast.,4,"[(4, 5)]","[(4, 10)]"
shlick,the onomatopoeic representation of female masturbation,I can't handle this shlick anymore.,I can't handle this situation of the onomatopoeic representation of female masturbation anymore.,shlick,situation of the onomatopoeic representation of female masturbation,4,"[(4, 5)]","[(4, 12)]"
navelplex,"a smooth-edged, thin, round piece of plexiglass that can be inserted into the user's navel",Have you dealt with navelplex before?,"Have you dealt with a smooth-edged, thin, round piece of plexiglass that can be inserted into the user's navel before?",navelplex,"a smooth-edged, thin, round piece of plexiglass that can be inserted into the user's navel",4,"[(4, 5)]","[(4, 19)]"
matrixism,"a religion jacked from a fictional action movie, and thrown into the world of infinite beliefs out of pity for the nerd-species of human-kind",This is textbook matrixism.,"This is a textbook case of a religion jacked from a fictional action movie, and thrown into the world of infinite beliefs out of pity for the nerd-species of human-kind.",matrixism,"a | case of a religion jacked from a fictional action movie, and thrown into the world of infinite beliefs out of pity for the nerd-species of human-kind.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 30)]"
caraphernelia,a broken-heart disease whenever someone leaves you but leaves all their things behind,We've reached peak caraphernelia.,We've reached peak a broken-heart disease whenever someone leaves you but leaves all their things behind.,caraphernelia,a broken-heart disease whenever someone leaves you but leaves all their things behind.,3,"[(3, 4)]","[(3, 16)]"
chepling,"""a massive cunt which makes youtube videos and is apparently in its words is ""making moneeeey",Is chepling even allowed here?,"Is a massive cunt which makes youtube videos and is apparently in its words is ""making moneeeey even allowed here?",chepling,"a massive cunt which makes youtube videos and is apparently in its words is ""making moneeeey",1,"[(1, 2)]","[(1, 17)]"
blackberryberry,an illness brought on by excessive texting,Nobody warned me about blackberryberry.,Nobody warned me about an illness brought on by excessive texting.,blackberryberry,an illness brought on by excessive texting.,4,"[(4, 5)]","[(4, 11)]"
homoblivious,not having the ability to recognize homosexuals as homosexuals,I can't handle this homoblivious anymore.,I can't handle this situation of not having the ability to recognize homosexuals as homosexuals anymore.,homoblivious,situation of not having the ability to recognize homosexuals as homosexuals,4,"[(4, 5)]","[(4, 15)]"
chipdrunk,"""in poker, having so many chips that you make bad calls and bets",Have you dealt with chipdrunk before?,"Have you dealt with in poker, having so many chips that you make bad calls and bets before?",chipdrunk,"in poker, having so many chips that you make bad calls and bets",4,"[(4, 5)]","[(4, 17)]"
biddie,"""a biddie, while difficult to define accurately while avoiding confusion, is a college age female who falls under some, most, or all of these descriptions",This is textbook biddie.,"This is a textbook case of a biddie, while difficult to define accurately while avoiding confusion, is a college age female who falls under some, most, or all of these descriptions.",biddie,"a | case of a biddie, while difficult to define accurately while avoiding confusion, is a college age female who falls under some, most, or all of these descriptions.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 31)]"
bbbj,bareback blowjob - a blowjob without a condom,We've reached peak bbbj.,We've reached peak bareback blowjob - a blowjob without a condom.,bbbj,bareback blowjob - a blowjob without a condom.,3,"[(3, 4)]","[(3, 11)]"
hippopotomonstrosesquippedaliophobia,fear of long words,Does your hippopotomonstrosesquippedaliophobia ever get better?,Does your fear of long words ever get better?,hippopotomonstrosesquippedaliophobia,fear of long words,2,"[(2, 3)]","[(2, 6)]"
artard,a retard as mentioned in south park,Nobody warned me about artard.,Nobody warned me about a retard as mentioned in south park.,artard,a retard as mentioned in south park.,4,"[(4, 5)]","[(4, 11)]"
butterz,"""(adj) the cool, laid back guy in a group of male friends",You look butterz tonight!,"You look (adj) the cool, laid back guy in a group of male friends tonight!",butterz,"(adj) the cool, laid back guy in a group of male friends",2,"[(2, 3)]","[(2, 14)]"
Cray,crazy,Have you dealt with cray before?,Have you dealt with crazy before?,Cray,crazy,4,"[(4, 5)]","[(4, 5)]"
hamplanet,"""an absolutely, ginormous, tub of lard on legs",This is textbook hamplanet.,"This is a textbook case of an absolutely, ginormous, tub of lard on legs.",hamplanet,"a | case of an absolutely, ginormous, tub of lard on legs.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 14)]"
coproaches,a massive accumulation of cop's in one place,We've reached peak coproaches.,We've reached peak a massive accumulation of cop's in one place.,coproaches,a massive accumulation of cop's in one place.,3,"[(3, 4)]","[(3, 11)]"
japanophile,"one who is terribly obssessed with japan, and anything japanese",The japanophile was unbearable.,"The is terribly obssessed with japan, and anything japanese was unbearable.",japanophile,"is terribly obssessed with japan, and anything japanese",1,"[(1, 2)]","[(1, 9)]"
reidtard,1) any person who attempts a long distance sailing venture who either can not sail or attempts the long distance voyage on an unseaworthy pos(piece of shit),Nobody warned me about reidtard.,Nobody warned me about 1) any person who attempts a long distance sailing venture who either can not sail or attempts the long distance voyage on an unseaworthy pos(piece of shit).,reidtard,1) any person who attempts a long distance sailing venture who either can not sail or attempts the long distance voyage on an unseaworthy pos(piece of shit).,4,"[(4, 5)]","[(4, 31)]"
chipmunking,the act of watching numerous recorded university lectures at 2x speed in a futile attempt to cover an entire semesters material the day before the final exam,I spent all day chipmunking.,I spent all day watching numerous recorded university lectures at 2x speed in a futile attempt to cover an entire semesters material the day before the final exam.,chipmunking,watching numerous recorded university lectures at 2x speed in a futile attempt to cover an entire semesters material the day before the final exam.,4,"[(4, 5)]","[(4, 28)]"
charlieissocoollike,a british teenager and youtube vlogger who has many many adoring fans and fan girls,Have you dealt with charlieissocoollike before?,Have you dealt with a british teenager and youtube vlogger who has many many adoring fans and fan girls before?,charlieissocoollike,a british teenager and youtube vlogger who has many many adoring fans and fan girls,4,"[(4, 5)]","[(4, 19)]"
