normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .,The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .,long,long,"[(6, 7)]","[(6, 7)]",0
BA transferred the former BCal routes to Heathrow to Tokyo and Saudi Arabia .,BA transferred the former BCal routes to Heathrow to Tokyo and Saudi Arabia .,Heathrow,Heathrow,"[(7, 8)]","[(7, 8)]",0
"In addition to Michael Boddicker , and Patrick Moraz , the album includes musical contributions from Diana Hubbard , John Goodsall , Chick Corea , Stanley Clarke .","In addition to Michael Boddicker , and Patrick Moraz , the album includes musical contributions from Diana Hubbard , John Goodsall , Chick Corea , Stanley Clarke .",contributions,contributions,"[(14, 15)]","[(14, 15)]",0
"These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .","These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .",",",",","[(10, 11)]","[(10, 11)]",0
Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .,Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .,Roman,Roman,"[(9, 10)]","[(9, 10)]",0
He is trained by Andre Rozier and shares a gym with the former World Champion Daniel Jacobs .,He is trained by Andre Rozier and shares a gym with the former World Champion Daniel Jacobs .,gym,gym,"[(9, 10)]","[(9, 10)]",0
Here we view pseudo-differential operators as a generalization of differential operators .,Here we view pseudo-differential operators as a generalization of differential operators .,a,a,"[(6, 7)]","[(6, 7)]",0
"Although there are overwhelming social implications , there also seem to be regional financial patterns that can perpetuate this trend .","Although there are overwhelming social implications , there also seem to be regional financial patterns that can perpetuate this trend .",to,to,"[(10, 11)]","[(10, 11)]",0
The museum building retains its European style of oriental modern architecture through the standing bricks on the southeast corner of the building and the classical image of the foyer .,The museum building retains its European style of oriental modern architecture through the standing bricks on the southeast corner of the building and the classical image of the foyer .,on,on,"[(15, 16)]","[(15, 16)]",0
"Based on the city of Baltimore , only mentioned , never visited in the show .","Based on the city of Baltimore , only mentioned , never visited in the show .",mentioned,mentioned,"[(8, 9)]","[(8, 9)]",0
Debbie Downer is a name of a fictional `` Saturday Night Live '' character that was debuted in 2004 and portrayed by Rachel Dratch .,Debbie Downer is a name of a fictional `` Saturday Night Live '' character that was debuted in 2004 and portrayed by Rachel Dratch .,'','',"[(12, 13)]","[(12, 13)]",0
"Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .","Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .",region,region,"[(9, 10)]","[(9, 10)]",0
This work caused him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was not considered ethical .,This work caused him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was not considered ethical .,genetics,genetics,"[(13, 14)]","[(13, 14)]",0
"Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .","Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .",Rhode,Rhode,"[(9, 10)]","[(9, 10)]",0
Seb Janiak is a French photographer and video director of Polish origin .,Seb Janiak is a French photographer and video director of Polish origin .,and,and,"[(6, 7)]","[(6, 7)]",0
"Singer Angélique Kidjo and actor Djimon Hounsou were born in Cotonou , Benin .","Singer Angélique Kidjo and actor Djimon Hounsou were born in Cotonou , Benin .",were,were,"[(7, 8)]","[(7, 8)]",0
"In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .","In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .",",",",","[(14, 15)]","[(14, 15)]",0
Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .,Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .,dancer,dancer,"[(11, 12)]","[(11, 12)]",0
These include replicas at Ramat Shlomo in Israel and in Kfar Chabad in Jerusalem .,These include replicas at Ramat Shlomo in Israel and in Kfar Chabad in Jerusalem .,Israel,Israel,"[(7, 8)]","[(7, 8)]",0
"Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .","Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .",Gwen,Gwen,"[(8, 9)]","[(8, 9)]",0
Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .,Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .,Pieterson,Pieterson,"[(6, 7)]","[(6, 7)]",0
"Davidson is a statue created by Will Rogers , which unveiled two versions in 1938 .","Davidson is a statue created by Will Rogers , which unveiled two versions in 1938 .",",",",","[(8, 9)]","[(8, 9)]",0
"Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .","Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .",",",",","[(14, 15)]","[(14, 15)]",0
The first main bridge was completed in 1857 and the positioned bridge opened on 2 May 1859 by Prince Albert .,The first main bridge was completed in 1857 and the positioned bridge opened on 2 May 1859 by Prince Albert .,positioned,positioned,"[(10, 11)]","[(10, 11)]",0
"English also has many words , such as `` zillion '' , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .","English also has many words , such as `` zillion '' , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .",informally,informally,"[(13, 14)]","[(13, 14)]",0
His family moved from Brooklyn to Manhattan later on 110th Street and Amsterdam Avenue .,His family moved from Brooklyn to Manhattan later on 110th Street and Amsterdam Avenue .,later,later,"[(7, 8)]","[(7, 8)]",0
In 1991 he left Italy to work in the palliative care of cancer patients in Germany as well as in various countries of the Third World .,In 1991 he left Italy to work in the palliative care of cancer patients in Germany as well as in various countries of the Third World .,patients,patients,"[(13, 14)]","[(13, 14)]",0
"When Mustafa marched to Murad in Anatolia , Junayd was persuaded to confront him .","When Mustafa marched to Murad in Anatolia , Junayd was persuaded to confront him .",",",",","[(7, 8)]","[(7, 8)]",0
The progress teacher Jürgen Reichen ( Swiss Education ) founded this method `` Writing to read '' 1982 .,The progress teacher Jürgen Reichen ( Swiss Education ) founded this method `` Writing to read '' 1982 .,founded,founded,"[(9, 10)]","[(9, 10)]",0
"After their departure from the Spear family in 1954 , Speer stopped singing and moved to Nashville in 1968 and back to Ohio after her husband had died .","After their departure from the Spear family in 1954 , Speer stopped singing and moved to Nashville in 1968 and back to Ohio after her husband had died .",moved,moved,"[(14, 15)]","[(14, 15)]",0
She has taken part in the second season of the most popular non - fiction controversial bengali reality show `` Bigg Boss Bangla '' .,She has taken part in the second season of the most popular non - fiction controversial bengali reality show `` Bigg Boss Bangla '' .,non,non,"[(12, 13)]","[(12, 13)]",0
"It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .","It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .",red,red,"[(12, 13)]","[(12, 13)]",0
"Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .","Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .",player,player,"[(15, 16)]","[(15, 16)]",0
The continuous power density is determined by the product 's continuous torque density and the constant torque speed range of the electric machine .,The continuous power density is determined by the product 's continuous torque density and the constant torque speed range of the electric machine .,density,density,"[(12, 13)]","[(12, 13)]",0
She plays for Naisten Liiga of Åland United .,She plays for Naisten Liiga of Åland United .,Liiga,Liiga,"[(4, 5)]","[(4, 5)]",0
Smaller small cross circuit pylons may have two single arms on one side and one on the other .,Smaller small cross circuit pylons may have two single arms on one side and one on the other .,arms,arms,"[(9, 10)]","[(9, 10)]",0
"`` The Timber '' was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .","`` The Timber '' was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .",",",",","[(14, 15)]","[(14, 15)]",0
"Although five issues of the series were printed , the project was finished without any of them being aborted .","Although five issues of the series were printed , the project was finished without any of them being aborted .",project,project,"[(10, 11)]","[(10, 11)]",0
"As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .","As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .",Nik,Nik,"[(10, 11)]","[(10, 11)]",0
"This is also a shearing effect : when the focal length is larger , the shear effect is smaller .","This is also a shearing effect : when the focal length is larger , the shear effect is smaller .",length,length,"[(10, 11)]","[(10, 11)]",0
"In 1968 , the boardwalk Bowl followed the Tangerine Bowl , and the Pecan Bowl moved within Texas , from Abilene to Arlington .","In 1968 , the boardwalk Bowl followed the Tangerine Bowl , and the Pecan Bowl moved within Texas , from Abilene to Arlington .",the,the,"[(12, 13)]","[(12, 13)]",0
Concord is of imperfective type in the ergative aspect but perfective in the nominative aspect .,Concord is of imperfective type in the ergative aspect but perfective in the nominative aspect .,aspect,aspect,"[(8, 9)]","[(8, 9)]",0
"The Soviet cosmonaut was Yuri Gagarin 's first air force pilot , also the first man in space .","The Soviet cosmonaut was Yuri Gagarin 's first air force pilot , also the first man in space .",force,force,"[(9, 10)]","[(9, 10)]",0
"On May 6 , 2016 it was announced that Palafox signed to National Premier Soccer League B of the New York Cosmos .","On May 6 , 2016 it was announced that Palafox signed to National Premier Soccer League B of the New York Cosmos .",to,to,"[(11, 12)]","[(11, 12)]",0
"On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .","On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .",Blue,Blue,"[(14, 15)]","[(14, 15)]",0
A boy who survived the attack said that Oliveira selectively shot to kill girls while shooting boys only to immobilize them .,A boy who survived the attack said that Oliveira selectively shot to kill girls while shooting boys only to immobilize them .,to,to,"[(11, 12)]","[(11, 12)]",0
"The second board revision has true JAMMA and also has a switch to select between JAMMA output as well as MVS output , which is stereo sound .","The second board revision has true JAMMA and also has a switch to select between JAMMA output as well as MVS output , which is stereo sound .",between,between,"[(14, 15)]","[(14, 15)]",0
"Born in Dublin about 1582 , he was second but third surviving son of Arland Ussher and his wife Margaret .","Born in Dublin about 1582 , he was second but third surviving son of Arland Ussher and his wife Margaret .",third,third,"[(10, 11)]","[(10, 11)]",0
"Another memorable ruler was Max Franz ( founded in 1784 -- 1794 ) , who ruled the university and the spa quarter of Bad Godesberg .","Another memorable ruler was Max Franz ( founded in 1784 -- 1794 ) , who ruled the university and the spa quarter of Bad Godesberg .",",",",","[(13, 14)]","[(13, 14)]",0
"For example , to enter a vertical line of 4 cm in length , it is sufficient to draw :","For example , to enter a vertical line of 4 cm in length , it is sufficient to draw :",cm,cm,"[(10, 11)]","[(10, 11)]",0
"In 2014 , when Santa Anita Park was closed the race moved to Hollywood Park Racetrack .","In 2014 , when Santa Anita Park was closed the race moved to Hollywood Park Racetrack .",closed,closed,"[(8, 9)]","[(8, 9)]",0
"( Don Wyatt had been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )","( Don Wyatt had been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )",and,and,"[(14, 15)]","[(14, 15)]",0
This circuit is said to have appeared in the earliest evolution of the reptilian brain and corresponds to the triune brain of invertebrate brain theory .,This circuit is said to have appeared in the earliest evolution of the reptilian brain and corresponds to the triune brain of invertebrate brain theory .,reptilian,reptilian,"[(13, 14)]","[(13, 14)]",0
"Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .","Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .",behave,behave,"[(9, 10)]","[(9, 10)]",0
It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .,It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .,adjacent,adjacent,"[(7, 8)]","[(7, 8)]",0
He was asked for his opinion about the books '' Mission to Moscow `` by Joseph E. Davies and '' One World `` by Wendell Willkie .,He was asked for his opinion about the books '' Mission to Moscow `` by Joseph E. Davies and '' One World `` by Wendell Willkie .,``,``,"[(13, 14)]","[(13, 14)]",0
The eastern part of Fenghuang Mountain is home to a mountain that has been called Chaoyang since ancient times .,The eastern part of Fenghuang Mountain is home to a mountain that has been called Chaoyang since ancient times .,mountain,mountain,"[(10, 11)]","[(10, 11)]",0
"Guillermo Pérez Roldán defeated Andrés Gómez with 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 - 6 , 6 - 2 .","Guillermo Pérez Roldán defeated Andrés Gómez with 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 - 6 , 6 - 2 .",6,6,"[(13, 14)]","[(13, 14)]",0
The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .,The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .,State,State,"[(13, 14)]","[(13, 14)]",0
This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .,This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .,;,;,"[(10, 11)]","[(10, 11)]",0
"Higher is the fifth album , and the fourth studio album , by Ezio , released in 2000 .","Higher is the fifth album , and the fourth studio album , by Ezio , released in 2000 .",studio,studio,"[(9, 10)]","[(9, 10)]",0
"Finsch 's monitor was only known by Blanche Bay , Ralum and Massawa in New Britain .","Finsch 's monitor was only known by Blanche Bay , Ralum and Massawa in New Britain .",Bay,Bay,"[(8, 9)]","[(8, 9)]",0
"After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .","After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .",and,and,"[(11, 12)]","[(11, 12)]",0
"The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .","The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .",to,to,"[(14, 15)]","[(14, 15)]",0
"Morrow can either mean the next day in particular , or the future in general .","Morrow can either mean the next day in particular , or the future in general .",particular,particular,"[(8, 9)]","[(8, 9)]",0
"Your character was later killed in the fourth episode of the second season , `` First Down '' .","Your character was later killed in the fourth episode of the second season , `` First Down '' .",of,of,"[(9, 10)]","[(9, 10)]",0
Below is the early version of the album with all the original segues and `` The Sacrifice of Victor '' is slightly longer in the early configuration .,Below is the early version of the album with all the original segues and `` The Sacrifice of Victor '' is slightly longer in the early configuration .,``,``,"[(14, 15)]","[(14, 15)]",0
"As a compliant team with a senior citizen stadium , you are entitled to enter the Scottish Cup .","As a compliant team with a senior citizen stadium , you are entitled to enter the Scottish Cup .",",",",","[(9, 10)]","[(9, 10)]",0
"The Crump family had a home in Bristol , while Phil was walking in the British League , which he began with the Crewe Kings in 1971 .","The Crump family had a home in Bristol , while Phil was walking in the British League , which he began with the Crewe Kings in 1971 .",the,the,"[(14, 15)]","[(14, 15)]",0
It was created by Eddie Mort and Lili Chin and produced by Warner Bros..,It was created by Eddie Mort and Lili Chin and produced by Warner Bros..,Lili,Lili,"[(7, 8)]","[(7, 8)]",0
`` The Day the Violence Died '' is the eighteenth episode of `` The Simpsons '' seventh season .,`` The Day the Violence Died '' is the eighteenth episode of `` The Simpsons '' seventh season .,eighteenth,eighteenth,"[(9, 10)]","[(9, 10)]",0
He supported Walter Brennan in `` Maryland '' ( 1940 ) and John Barrymore in `` The Large Profile '' ( 1940 ) .,He supported Walter Brennan in `` Maryland '' ( 1940 ) and John Barrymore in `` The Large Profile '' ( 1940 ) .,John,John,"[(12, 13)]","[(12, 13)]",0
"Oberst Acker died on 6 September 1879 in Kalamazoo , Michigan , and is buried in Union City in the state of Michigan , USA .","Oberst Acker died on 6 September 1879 in Kalamazoo , Michigan , and is buried in Union City in the state of Michigan , USA .",is,is,"[(13, 14)]","[(13, 14)]",0
"Phasael and Antipater began their careers under their father Herod , who was appointed Judea Procurator of the Roman Republic by Julius Caesar .","Phasael and Antipater began their careers under their father Herod , who was appointed Judea Procurator of the Roman Republic by Julius Caesar .",was,was,"[(12, 13)]","[(12, 13)]",0
Disputes with leaders of Marble Hill persuaded the railroad to move their route through Lutesville instead .,Disputes with leaders of Marble Hill persuaded the railroad to move their route through Lutesville instead .,railroad,railroad,"[(8, 9)]","[(8, 9)]",0
"As Smith Sounds , Greg Smith published two solo albums : `` Hot as a Lemon '' ( 2003 ) and `` The Northern Elation '' ( 2009 ) .","As Smith Sounds , Greg Smith published two solo albums : `` Hot as a Lemon '' ( 2003 ) and `` The Northern Elation '' ( 2009 ) .",Lemon,Lemon,"[(15, 16)]","[(15, 16)]",0
Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .,Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .,Galaga,Galaga,"[(11, 12)]","[(11, 12)]",0
"This was more common in regional Australia and southern Australia , but has been common for decades in urban Australia .","This was more common in regional Australia and southern Australia , but has been common for decades in urban Australia .",",",",","[(10, 11)]","[(10, 11)]",0
The complex of the Trabzon World Trade Center is close to Trabzon Airport .,The complex of the Trabzon World Trade Center is close to Trabzon Airport .,Center,Center,"[(7, 8)]","[(7, 8)]",0
It was originally developed by groups of Chinese scholars in the Soviet Union and used by Chinese and Russian immigrants there until most of them left the country .,It was originally developed by groups of Chinese scholars in the Soviet Union and used by Chinese and Russian immigrants there until most of them left the country .,used,used,"[(14, 15)]","[(14, 15)]",0
"In 1862 , Jane died and in 1864 Breck married Sarah Stiles , and three years later he moved to Benicia , California , to build two more institutions .","In 1862 , Jane died and in 1864 Breck married Sarah Stiles , and three years later he moved to Benicia , California , to build two more institutions .",years,years,"[(15, 16)]","[(15, 16)]",0
"Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .","Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .",his,his,"[(13, 14)]","[(13, 14)]",0
"The film was produced by Columbia Pictures and Imagine Entertainment by Brian Grazer , daughter and father , as well as Bryce Dallas Howard and Ron Howard .","The film was produced by Columbia Pictures and Imagine Entertainment by Brian Grazer , daughter and father , as well as Bryce Dallas Howard and Ron Howard .",daughter,daughter,"[(14, 15)]","[(14, 15)]",0
"Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .","Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .",",",",","[(14, 15)]","[(14, 15)]",0
"Since 2009 , no highly significant agonists or antagonists have been discovered for the M receptor , but several non-selective Muscarian agonists and antagonists have selective affinity for M .","Since 2009 , no highly significant agonists or antagonists have been discovered for the M receptor , but several non-selective Muscarian agonists and antagonists have selective affinity for M .",receptor,receptor,"[(15, 16)]","[(15, 16)]",0
"He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .","He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .",Town,Town,"[(12, 13)]","[(12, 13)]",0
"Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .","Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .",reliable,reliable,"[(15, 16)]","[(15, 16)]",0
"An attempt to sign full-back Chris Charsley from Middlesbrough Ironopolis was unsuccessful , and the club offered the services of goalkeeper Jack Oliver to Aston Villa .","An attempt to sign full-back Chris Charsley from Middlesbrough Ironopolis was unsuccessful , and the club offered the services of goalkeeper Jack Oliver to Aston Villa .",and,and,"[(13, 14)]","[(13, 14)]",0
